name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,50.255434782608695,12.38586956521739,0.8022731216380358,
big ten,True,47.288043478260875,12.451086956521738,0.7915756914119361,
big 12,True,36.35326086956522,11.45108695652174,0.7604592996816735,
acc,True,42.255434782608695,23.804347826086957,0.6396544631838749,
fbs independents,False,14.869565217391305,4.709239130434783,0.7594725884802221,
american athletic,False,32.546195652173914,20.644021739130434,0.6118831102482886,
mountain west,False,23.611413043478258,22.35326086956522,0.5136860774460538,
sun belt,False,26.644021739130434,28.0625,0.4870355652692231,
conference usa,False,19.127717391304348,27.35326086956522,0.41151710026308097,
mid-american,False,16.451086956521742,32.546195652173914,0.3357550884587655,
pac-12,False,6.483695652173912,13.22554347826087,0.3289673238659865,
