team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Air Force,mountain west,5.424242424242426,0.10278930968586143,14.0,66.0,1,1
Akron,mid-american,2.4016393442622963,0.045511028269648986,6.5,61.0,1,1
Alabama,sec,16.87096774193548,0.3197045766567457,33.0,93.0,2,0
App State,sun belt,18.68292682926829,0.3540411732169511,27.5,82.0,2,0
Arizona,big 12,5.115384615384615,0.09693645900542451,8.5,52.0,1,1
Arizona State,big 12,13.166666666666668,0.24950812881847367,17.5,90.0,1,1
Arkansas,sec,-15.317073170731708,-0.2902582986687276,-8.0,41.0,1,1
Arkansas State,sun belt,0.842105263157892,0.01595788165661119,13.5,76.0,1,1
Army,american athletic,21.885542168674696,0.41473068415320175,26.0,83.0,1,1
Auburn,sec,2.9999999999999982,0.056849953401677505,18.0,60.0,2,0
Ball State,mid-american,-25.22727272727273,-0.47805642633228845,-14.5,44.0,1,1
Baylor,big 12,11.333333333333332,0.21476649062855957,20.0,60.0,1,1
Boise State,pac-12,-6.807692307692308,-0.12900566348842213,5.5,65.0,1,1
Boston College,acc,-16.80232558139535,-0.3184038087807134,-6.0,43.0,1,1
Bowling Green,mid-american,-44.0,-0.8337993165579373,-28.0,20.0,0,2
Buffalo,mid-american,-12.817073170731708,-0.24288333750066302,-4.5,41.0,1,1
BYU,big 12,28.153846153846157,0.5335149473080508,33.5,91.0,2,0
California,acc,-21.61111111111111,-0.40953021987504745,-9.0,45.0,1,1
Central Michigan,mid-american,-10.999999999999998,-0.2084498291394843,-14.0,20.0,1,1
Charlotte,american athletic,-24.0,-0.4547996272134203,-17.0,50.0,0,2
Cincinnati,big 12,32.39583333333333,0.6139005384695039,35.5,96.0,2,0
Clemson,acc,-40.625000000000014,-0.7698431189810503,-13.0,32.0,1,1
Coastal Carolina,sun belt,9.152173913043477,0.1734335534935235,15.5,69.0,1,1
Colorado,big 12,13.22727272727273,0.2506566127255783,16.0,66.0,2,0
Colorado State,pac-12,22.661290322580644,0.4294310996201986,28.0,93.0,2,0
Delaware,conference usa,6.176470588235292,0.11704402170933606,13.0,68.0,1,1
Duke,acc,2.25,0.04263746505125816,9.0,48.0,2,0
