team,conference,SOR_raw,SOR_adj,wins,losses
Air Force,mountain west,-0.5454545454545454,-0.7592267135325131,1,1
Akron,mid-american,-0.6577540106951871,-0.9155380957303835,1,1
Alabama,sec,0.17938311688311687,0.24968616620637707,2,0
App State,sun belt,0.11688311688311688,0.16269143861410998,2,0
Arizona,big 12,-0.23295454545454553,-0.3242530755711776,1,1
Arizona State,big 12,-0.25,-0.34797891036906853,1,1
Arkansas,sec,-0.3352272727272728,-0.46660808435852386,1,1
Arkansas State,sun belt,-0.6493506493506493,-0.9038413256339443,1,1
Army,american athletic,-0.4545454545454546,-0.6326889279437611,1,1
Auburn,sec,0.4618506493506493,0.6428571428571428,2,0
Ball State,mid-american,-0.29292929292929293,-0.4077328646748682,1,1
Baylor,big 12,-0.6875,-0.9569420035149385,1,1
Boise State,pac-12,-0.4978354978354979,-0.6929450163193573,1,1
Boston College,acc,-0.3869949494949495,-0.538664323374341,1,1
Bowling Green,mid-american,-1.191919191919192,-1.6590509666080846,0,2
Buffalo,mid-american,-0.8636363636363636,-1.2021089630931459,1,1
BYU,big 12,0.05113636363636363,0.07117750439367311,2,0
California,acc,-0.273321449792038,-0.38044040111650984,1,1
Central Michigan,mid-american,-0.6363636363636362,-0.8857644991212652,1,1
Charlotte,american athletic,-1.75,-2.4358523725834798,0,2
Cincinnati,big 12,0.2994652406417112,0.41683035252765427,2,0
Clemson,acc,-0.21915584415584413,-0.30504644740145614,1,1
Coastal Carolina,sun belt,-0.5397727272727273,-0.7513181019332162,1,1
Colorado,big 12,0.2566844919786096,0.35728315930941795,2,0
Colorado State,pac-12,0.18181818181818185,0.25307557117750445,2,0
Delaware,conference usa,-0.8125,-1.1309314586994728,1,1
Duke,acc,0.5252525252525253,0.7311072056239016,2,0
East Carolina,american athletic,-0.7508116883116882,-1.0450665327642479,0,2
Eastern Michigan,mid-american,-1.2082362082362084,-1.6817628768419632,1,2
Florida,sec,0.5064935064935064,0.7049962339944764,2,0
Florida Atlantic,american athletic,-0.08603896103896105,-0.11975897564649764,1,1
Florida International,conference usa,-0.3566433566433567,-0.4964174665404895,1,1
Florida State,acc,-0.23743315508021398,-0.33048692236121174,1,1
Fresno State,pac-12,-0.32944832944832947,-0.45856428281735845,1,1
Georgia,sec,0.027272727272727264,0.03796133567662565,2,0
Georgia Southern,sun belt,-0.786096256684492,-1.0941796753850925,1,1
Georgia State,sun belt,0.2727272727272727,0.37961335676625657,2,0
Georgia Tech,acc,-1.1818181818181819,-1.6449912126537787,0,2
Hawai'i,mountain west,-1.3844919786096255,-1.927096040525173,1,2
Houston,big 12,0.0340909090909091,0.04745166959578209,2,0
Illinois,big ten,-0.038961038961038946,-0.054230479538036634,1,1
Indiana,big ten,0.3116883116883116,0.4338438363042932,2,0
Iowa,big ten,0.2897727272727273,0.40333919156414766,2,0
Iowa State,big 12,-0.3939393939393939,-0.5483304042179261,1,1
Jacksonville State,conference usa,-1.4615384615384617,-2.034338245234555,1,2
James Madison,sun belt,0.10909090909090909,0.15184534270650263,2,0
Kansas,big 12,-0.5,-0.6959578207381371,1,1
Kansas State,big 12,0.022727272727272735,0.03163444639718806,2,0
Kennesaw State,conference usa,-0.6623376623376623,-0.9219181521466232,1,1
Kent State,mid-american,-0.1875,-0.2609841827768014,1,1
Kentucky,sec,-0.0625,-0.08699472759226713,1,1
Liberty,conference usa,-0.6363636363636364,-0.8857644991212654,1,1
Louisiana,sun belt,-0.3434343434343434,-0.4780316344463972,1,1
Louisiana Tech,sun belt,-0.375,-0.5219683655536028,1,1
Louisville,acc,-0.75,-1.0439367311072056,1,1
LSU,sec,0.4996180290297937,0.695426149370117,2,0
Marshall,sun belt,-0.02424242424242426,-0.03374340949033394,1,1
Maryland,big ten,0.3181818181818182,0.4428822495606327,2,0
Massachusetts,mid-american,0.050505050505050525,0.07029876977152903,2,0
Memphis,american athletic,-0.26623376623376616,-0.37057494350991704,2,1
Miami,acc,0.042780748663101616,0.059547193218236344,2,0
Miami (OH),mid-american,-0.5294117647058825,-0.7368965160756747,1,1
Michigan,big ten,0.5148601398601398,0.7166418818439907,2,0
Michigan State,big ten,0.3496503496503496,0.4866837907259699,2,0
Middle Tennessee,conference usa,-0.948051948051948,-1.3196083354255586,1,1
Minnesota,big ten,-0.3125,-0.4349736379613357,1,1
Mississippi State,sec,0.43001443001442996,0.5985438111975897,2,0
