,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Indiana,7,0,big ten,2,4,0,0.9090909090909091,0.9444444444444444,0.8585858585858586,32.285714285714285,35.0,2.505772005772006,65.0,100.0
2,Ohio State,7,0,big ten,2,4,0,0.9090909090909091,0.8888888888888888,0.808080808080808,30.571428571428573,33.939393939393945,2.116501554001554,61.72838886013453,95.66778279952848
3,Texas Tech,6,1,big 12,3,3,1,0.8181818181818181,0.8125,0.6647727272727272,29.714285714285715,33.409090909090914,1.518793706293706,56.70497225080216,90.11406315989306
4,Alabama,6,1,sec,1,4,0,1.0,0.9375,0.9375,17.428571428571438,25.808080808080813,2.1774626517273576,62.240734468466954,88.04881527654777
5,BYU,7,0,big 12,3,4,0,0.8181818181818181,0.9375,0.7670454545454545,20.0,27.3989898989899,1.7789343009931242,58.89131561100077,86.29030550999067
6,Georgia Tech,7,0,acc,4,4,0,0.7272727272727273,0.9411764705882353,0.6844919786096256,14.714285714285714,24.128787878787882,2.1373663101604277,61.903746040134926,86.03253391892281
7,Oregon,6,1,big ten,2,3,1,0.9090909090909091,1.0,0.9090909090909091,29.714285714285715,33.409090909090914,0.9652777777777779,52.052965221782785,85.46205613087369
8,Texas A&M,7,0,sec,1,4,0,1.0,0.875,0.875,12.714285714285724,22.891414141414145,2.033820346320346,61.03349727800418,83.92491141941832
9,Georgia,6,1,sec,1,4,1,1.0,1.0,1.0,14.142857142857142,23.77525252525253,1.8011363636363638,59.0779121408459,82.85316466609845
10,Vanderbilt,6,1,sec,1,2,1,1.0,0.6875,0.6875,21.428571428571427,28.282828282828277,1.192529284441049,53.96289328688337,82.24572156971165
11,Utah,5,2,big 12,3,2,2,0.8181818181818181,0.6875,0.5625,21.571428571428573,28.371212121212125,1.0467171717171715,52.737420019788175,81.10863214100029
12,Missouri,6,1,sec,1,2,1,1.0,0.75,0.75,22.285714285714285,28.81313131313131,0.9539210789210788,51.957518207187434,80.77064952031876
13,Notre Dame,5,2,fbs independents,5,0,0,0.6363636363636364,1.0,0.6363636363636364,17.857142857142858,26.07323232323232,1.1106283422459895,53.27455942123246,79.34779174446479
14,Oklahoma,6,1,sec,1,2,1,1.0,0.625,0.625,19.285714285714285,26.95707070707071,0.9992229992229993,52.33825675655069,79.2953274636214
15,Ole Miss,6,1,sec,1,3,1,1.0,0.8125,0.8125,14.857142857142858,24.217171717171713,1.2329545454545454,54.30264610825013,78.51981782542184
16,Miami,5,1,acc,4,1,1,0.7272727272727273,0.4117647058823529,0.2994652406417112,17.333333333333332,25.74915824915825,1.0350458365164248,52.63932865403924,78.38848690319749
17,Tulane,6,1,american athletic,6,3,0,0.5454545454545454,0.7857142857142857,0.42857142857142855,3.5714285714285716,17.234848484848484,1.8684375265257618,59.643542625341794,76.87839111019028
18,South Florida,6,1,american athletic,6,3,0,0.5454545454545454,0.8571428571428572,0.4675324675324675,18.714285714285715,26.603535353535356,0.7523873185637892,50.26373412353782,76.86726947707318
19,Cincinnati,6,1,big 12,3,4,0,0.8181818181818181,0.875,0.7159090909090908,19.0,26.78030303030303,0.7145979020979021,49.94613417389736,76.7264372042004
20,North Texas,6,1,american athletic,6,2,1,0.5454545454545454,0.6428571428571428,0.3506493506493506,19.285714285714285,26.95707070707071,0.5324675324675323,48.41542527092133,75.37249597799205
21,LSU,5,2,sec,1,2,2,1.0,0.4375,0.4375,11.0,21.83080808080808,1.1193181818181819,53.34759290173097,75.17840098253905
22,Illinois,5,2,big ten,2,2,2,0.9090909090909091,0.38888888888888884,0.3535353535353535,8.571428571428571,20.328282828282827,1.2709447415329764,54.621933503762904,74.95021633204574
23,Virginia,6,1,acc,4,3,1,0.7272727272727273,0.7647058823529411,0.5561497326203209,16.714285714285715,25.36616161616162,0.6340718105423988,49.26935519675023,74.63551681291185
24,Louisville,5,1,acc,4,2,1,0.7272727272727273,0.6470588235294117,0.4705882352941176,13.0,23.068181818181817,0.8761238761238759,51.30367408887817,74.37185590706
25,Navy,6,0,american athletic,6,4,0,0.5454545454545454,0.9285714285714286,0.5064935064935064,15.0,24.305555555555554,0.699134199134199,49.816169973816095,74.12172552937164
26,Tennessee,5,2,sec,1,2,2,1.0,0.5,0.5,13.714285714285714,23.51010101010101,0.6630061115355234,49.51253260983872,73.02263361993973
27,Nebraska,5,2,big ten,2,2,2,0.9090909090909091,0.5,0.45454545454545453,16.571428571428573,25.277777777777782,0.42453379953379955,47.50829964289783,72.78607742067562
