name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,18.0,23.0,0.0,3.7238805970149254
mid-american,False,17.0,22.0,0.3333333333333333,3.7238805970149254
sec,True,38.0,8.0,0.6666666666666666,3.7238805970149254
sun belt,False,24.0,23.0,0.6666666666666666,3.7238805970149254
big 12,True,33.0,10.0,0.3333333333333333,3.7238805970149254
american athletic,False,23.0,22.0,0.5,3.7238805970149254
acc,True,37.0,11.0,0.5,3.7238805970149254
conference usa,False,11.0,19.0,0.6666666666666666,3.7238805970149254
big ten,True,42.0,10.0,0.6666666666666666,3.7238805970149254
fbs independents,False,6.0,6.0,0.5,3.7238805970149254
pac-12,False,7.0,1.0,1.0,3.7238805970149254
