rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Ohio State,big ten,14,2,98.19557608446179,0.9484450309846224,1.0
2,Notre Dame,fbs independents,14,2,93.32045222775352,0.9092839109479,0.946084851455031
3,Oregon,big ten,13,1,88.03025983560366,0.8162562706973997,0.914789082479918
4,Texas,sec,13,3,87.25977412022613,0.8566961211843012,0.8811601519811628
5,Indiana,big ten,11,2,83.19791173770011,1.0,0.7415063344261557
6,Penn State,big ten,13,3,82.73429163935218,0.837675005737893,0.8217794836696296
7,Georgia,sec,11,3,81.69189461730141,0.7356962523361421,0.8606542428544067
8,Ole Miss,sec,10,3,76.80335968792065,0.973835207711728,0.657217344892464
9,SMU,acc,11,3,76.43954085080998,0.7983540443948981,0.7461099891844392
10,Miami,acc,10,3,76.09986787145509,0.8733073215515262,0.7005247941100258
11,Alabama,sec,9,4,75.2486261497626,0.8333715859536377,0.7089326252520813
12,Tennessee,sec,10,3,74.92253944522369,0.8912095478540282,0.6727723887743492
13,BYU,big 12,11,2,74.36754980257602,0.7466146431030525,0.74209288144568
14,Memphis,american athletic,11,2,72.93278910009937,0.7521230204268994,0.7170535905408907
15,Iowa State,big 12,11,3,72.5172990504247,0.685825764779173,0.7463599582023637
16,Arizona State,big 12,11,3,72.32136677932385,0.7254664087347126,0.722000653440137
17,Clemson,acc,10,4,72.03101554440289,0.7420899045870356,0.7085825982131791
18,Army,american athletic,12,2,71.56736619474992,0.8188137315977573,0.6601367013665912
19,South Carolina,sec,9,4,71.14325632250639,0.7617626807436308,0.6843317307150663
20,Boise State,mountain west,12,2,71.08134096672083,0.8034689661956128,0.6609219561519135
21,Illinois,big ten,10,3,70.71097515718566,0.6584806059215056,0.7332946761528149
22,Missouri,sec,10,3,69.91193812145688,0.6929079641955473,0.7024639903786573
23,Michigan,big ten,8,5,68.41776171192073,0.5772320403947669,0.7417636968939061
24,Louisville,acc,9,4,68.19711654828123,0.7617626807436307,0.6390065034192945
25,LSU,sec,9,4,68.03699289942378,0.6502180399357356,0.6966055615642005
26,Kansas State,big 12,9,4,67.59549741544704,0.673628643562084,0.6772076137042169
27,Florida,sec,8,5,67.36858570637271,0.6336929079641955,0.695220521963475
28,Navy,american athletic,10,3,65.48677044449218,0.7039247188432406,0.6284523889996733
29,UNLV,mountain west,11,3,63.9681683577054,0.7919603921440046,0.5576854558871577
30,Iowa,big ten,8,5,63.60423309725414,0.7163185678218955,0.5928166649767352
31,Syracuse,acc,10,3,63.45889403111592,0.6281845306403488,0.6380374685954417
32,Colorado,big 12,9,4,63.43539134806249,0.7163185678218957,0.590219099604556
33,Baylor,big 12,8,5,62.930047649678315,0.677759926554969,0.6032069264654522
34,Texas A&M,sec,8,5,62.47088725469856,0.6860224925407389,0.591693846396503
35,Duke,acc,9,4,62.394842219231364,0.5731007574018819,0.6513279340025461
36,Tulane,american athletic,9,5,62.31901107140234,0.7983540443948981,0.5288710695012449
37,Minnesota,big ten,8,5,62.187814942603595,0.7053018131742024,0.5769577151001002
38,TCU,big 12,9,4,60.81941915521571,0.698416341519394,0.5596130338774912
39,Marshall,sun belt,10,3,60.81939269993843,0.6970392471884324,0.5603541392052815
40,Ohio,mid-american,11,3,60.310221036745446,0.7395324436866781,0.5296397770417187
41,USC,big ten,7,6,60.17500074412057,0.6488409456047739,0.5763933484300536
42,Vanderbilt,sec,7,6,59.04216439693792,0.6102823043378471,0.579727442232512
43,Texas Tech,big 12,8,5,58.696921224790174,0.5896258893734222,0.5855386937956986
44,Oklahoma,sec,6,7,58.20651525778362,0.5841175120495754,0.5809600359392074
45,Arkansas,sec,7,6,58.12128476645319,0.6460867569428506,0.5462807426685142
46,Louisiana,sun belt,10,4,56.8397451228019,0.6615298862257779,0.5182492169984565
47,Georgia Tech,acc,7,6,56.10953451923334,0.5992655496901538,0.5405421581550456
48,Nebraska,big ten,7,6,55.879201244694634,0.6130364929997703,0.5295834459954258
49,UConn,fbs independents,9,4,55.69084530239748,0.698416341519394,0.48071189768028744
50,James Madison,sun belt,9,4,55.64707445976489,0.7700252467294009,0.44147985883439794
51,Texas State,sun belt,8,5,55.31284385549571,0.7548772090888226,0.44449448519056795
52,Boston College,acc,7,6,55.008067163143835,0.618544870323617,0.5132153338741113
53,Kansas,big 12,5,7,54.7078992045724,0.6056919899013082,0.5155181470465632
54,Washington State,pac-12,8,5,53.25457719746085,0.6598577002524671,0.46399319520960774
55,Rutgers,big ten,7,6,52.9960191615943,0.6033968326830387,0.4904173848875068
56,Buffalo,mid-american,9,4,52.50402134153662,0.5841175120495754,0.49322936030463826
57,Sam Houston,conference usa,10,3,52.30429277454818,0.5992655496901538,0.48199997746758144
58,Pittsburgh,acc,7,6,52.186801448401255,0.6212990589855404,0.4683282212908822
59,Washington,big ten,6,7,51.74174424873592,0.5331650218039936,0.5089379767014792
60,Virginia Tech,acc,6,7,51.425401601832064,0.6350700022951572,0.4491992541769471
61,East Carolina,american athletic,8,5,49.9389569152587,0.6240532476474637,0.4322629730399612
