name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,26.0,21.0,0.5,8.470588235294118
mid-american,False,16.0,36.0,0.25,8.470588235294118
sec,True,45.0,6.0,1.0,8.470588235294118
sun belt,False,26.0,28.0,0.5,8.470588235294118
big 12,True,37.0,9.0,0.6666666666666666,8.470588235294118
american athletic,False,33.0,17.0,0.5,8.470588235294118
acc,True,37.0,19.0,1.0,8.470588235294118
conference usa,False,18.0,25.0,0.6666666666666666,8.470588235294118
big ten,True,44.0,10.0,0.6666666666666666,8.470588235294118
fbs independents,False,12.0,5.0,0.6666666666666666,8.470588235294118
pac-12,False,5.0,11.0,0.5,8.470588235294118
