rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
79,Air Force,mountain west,0,1,-20.151515151515152,1.0,-0.8484848484848484
80,LSU,sec,0,1,-28.093809248369155,0.15402969247083775,-0.515151515151515
81,TCU,big 12,0,1,-33.298487258588004,0.08974019088016967,-0.5606060606060607
82,Maryland,big ten,0,1,-34.80964201934509,0.18725698126546483,-0.6363636363636362
83,Syracuse,acc,0,1,-35.344202898550726,0.22826086956521738,-0.6666666666666666
84,Missouri,sec,0,1,-38.4866560622128,0.13847649346058677,-0.6666666666666666
85,Iowa State,big 12,0,1,-42.48533853915614,0.08050547896783315,-0.6969696969696969
86,Purdue,big ten,0,1,-44.43310048029029,0.13740925034668408,-0.7575757575757575
87,Kansas State,big 12,0,1,-49.88600212089078,0.12230470130788265,-0.8333333333333334
88,Florida,sec,0,1,-50.89560102616836,0.06532049016142336,-0.8181818181818181
89,Wake Forest,acc,0,1,-51.401555319901036,0.07900318133616119,-0.8333333333333334
90,Rutgers,big ten,0,1,-52.05029483595229,0.1448833510074231,-0.8787878787878785
91,UConn,fbs independents,0,1,-52.23014878370129,0.5899611170024743,-1.1212121212121213
92,Oklahoma,big 12,0,1,-57.67947234808317,0.15288087663485334,-0.9696969696969697
93,Wisconsin,big ten,0,1,-60.07290562036055,0.14077412513255566,-1.0
94,Texas A&M,sec,0,1,-60.6270686718725,0.06866383881230116,-0.9696969696969697
95,Louisiana Tech,conference usa,0,1,-66.18046852405283,0.07882644043831742,-1.0606060606060606
96,Cincinnati,big 12,0,1,-68.94824643366533,0.08416265600783097,-1.1060606060606062
97,Nebraska,big ten,0,1,-69.2234482243683,0.10443827584055891,-1.1212121212121209
98,Notre Dame,fbs independents,0,1,-70.63795779734735,0.14843930102817096,-1.1666666666666665
99,Northwestern,big ten,0,1,-71.5065153121887,0.26431601272534466,-1.2424242424242424
100,UTEP,conference usa,0,1,-73.13641142644323,0.14271147728199693,-1.202020202020202
101,Middle Tennessee,conference usa,0,1,-75.78028428505628,0.3297985153764581,-1.3434343434343434
102,New Mexico,mountain west,0,1,-75.888725537453,0.19538706256627783,-1.2727272727272725
103,Baylor,big 12,0,1,-78.51517561618304,0.06406857546836338,-1.2424242424242424
