,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Indiana,10,0,big ten,2,7,0,0.9090909090909091,0.8333333333333334,0.7575757575757576,30.1,35.0,2.9855699855699855,61.101643983121946,96.10164398312196
2,Oregon,11,0,big ten,2,8,0,0.9090909090909091,0.8888888888888888,0.808080808080808,18.181818181818183,28.11656165616562,3.676767676767677,65.0,93.11656165616562
3,Texas,9,1,sec,1,5,1,1.0,1.0,1.0,25.1,32.11221122112211,2.8106962481962485,60.11535584158664,92.22756706270876
4,Notre Dame,9,1,fbs independents,5,0,0,0.6363636363636364,1.0,0.6363636363636364,26.6,32.97854785478548,2.558828834564129,58.694823250271234,91.67337110505672
5,Ohio State,9,1,big ten,2,6,1,0.9090909090909091,0.7777777777777778,0.7070707070707071,27.5,33.49834983498349,2.1904761904761907,56.61731378416618,90.11566361914967
6,Alabama,8,2,sec,1,4,2,1.0,0.9375,0.9375,22.6,30.668316831683168,2.6319805194805195,59.10739886310992,89.7757156947931
7,Penn State,9,1,big ten,2,6,1,0.9090909090909091,0.7222222222222222,0.6565656565656566,19.4,28.820132013201317,2.9248737373737375,60.759317052099114,89.57944906530044
8,SMU,9,1,acc,4,6,0,0.7272727272727273,1.0,0.7272727272727273,17.5,27.72277227722772,2.670788770053476,59.32627745465071,87.04904973187844
9,Miami,9,1,acc,4,5,1,0.7272727272727273,0.8235294117647058,0.5989304812834224,21.90000000000001,30.264026402640265,2.1038165266106437,56.128553149758524,86.3925795523988
10,Georgia,8,2,sec,1,6,2,1.0,0.875,0.875,12.3,24.719471947194716,2.704211229946524,59.51478017866469,84.2342521258594
11,Ole Miss,8,2,sec,1,4,2,1.0,0.625,0.625,27.8,33.67161716171617,1.059998090145149,50.24141559975812,83.91303276147428
12,Army,9,0,american athletic,7,7,0,0.4545454545454546,1.0,0.4545454545454546,24.88888888888889,31.990282361569488,1.116883116883117,50.56224723602991,82.5525295975994
13,Boise State,9,1,mountain west,9,6,0,0.2727272727272727,1.0,0.2727272727272727,18.9,28.53135313531353,1.3340548340548337,51.78709604717843,80.31844918249197
14,Tennessee,8,2,sec,1,5,2,1.0,0.75,0.75,21.1,29.801980198019802,1.0612745098039216,50.24861460855142,80.05059480657121
15,Tulane,9,2,american athletic,7,7,0,0.4545454545454546,0.9285714285714286,0.4220779220779221,23.454545454545453,31.16186618661866,0.5998376623376624,47.64611009553383,78.8079762821525
16,Clemson,8,2,acc,4,7,1,0.7272727272727273,0.8823529411764706,0.6417112299465241,13.5,25.41254125412541,1.6053284950343776,53.31707990269117,78.72962115681659
17,BYU,9,1,big 12,3,6,1,0.8181818181818181,1.0,0.8181818181818181,12.1,24.603960396039604,1.6874999999999996,53.78052731415979,78.3844877101994
18,Iowa State,8,2,big 12,3,5,2,0.8181818181818181,0.875,0.7159090909090908,12.8,25.008250825082506,1.2935606060606055,51.55870854044849,76.56695936553099
19,South Carolina,7,3,sec,1,5,3,1.0,0.6875,0.6875,11.8,24.43069306930693,1.3736471861471862,52.01039697246673,76.44109004177366
20,Texas A&M,8,2,sec,1,5,1,1.0,0.8125,0.8125,12.2,24.66171617161716,1.249621212121212,51.31089029261147,75.97260646422863
21,Colorado,8,2,big 12,3,6,1,0.8181818181818181,0.9375,0.7670454545454545,11.4,24.199669966996698,0.8036616161616157,48.79567750134599,72.99534746834269
22,Memphis,9,2,american athletic,7,5,2,0.4545454545454546,0.8571428571428572,0.3896103896103897,12.636363636363637,24.913741374137416,0.6754010695187165,48.072287825568836,72.98602919970625
23,UNLV,8,2,mountain west,9,4,1,0.2727272727272727,0.8333333333333334,0.22727272727272727,16.5,27.145214521452143,0.1751336898395719,45.25077905252777,72.39599357397991
24,Missouri,7,3,sec,1,3,3,1.0,0.5625,0.5625,8.2,22.35148514851485,0.9070855614973261,49.378988708433646,71.7304738569485
25,Washington State,8,2,pac-12,6,0,0,0.5454545454545454,1.0,0.5454545454545454,10.8,23.853135313531354,0.5795454545454546,47.53166201309678,71.38479732662813
26,Kansas State,7,3,big 12,3,5,3,0.8181818181818181,0.75,0.6136363636363635,7.6,22.004950495049506,0.8993506493506489,49.33536379230471,71.34031428735422
27,Iowa,6,4,big ten,2,4,3,0.9090909090909091,0.6666666666666667,0.6060606060606061,11.2,24.084158415841586,0.36237373737373746,46.30681320194824,70.39097161778982
28,Arizona State,8,2,big 12,3,5,2,0.8181818181818181,0.8125,0.6647727272727272,8.0,22.235973597359735,0.589285714285714,47.58659709266656,69.8225706900263
29,Illinois,7,3,big ten,2,4,3,0.9090909090909091,0.5555555555555556,0.5050505050505051,6.5,21.36963696369637,0.7367424242424241,48.4182531583758,69.78789012207217
30,Pittsburgh,7,3,acc,4,3,3,0.7272727272727273,0.5882352941176471,0.4278074866310161,10.0,23.391089108910894,0.30626114081996403,45.990338073075904,69.3814271819868
31,Duke,7,3,acc,4,3,3,0.7272727272727273,0.4117647058823529,0.2994652406417112,4.7,20.330033003300333,0.7428401663695781,48.4526444331348,68.78267743643514
32,James Madison,8,2,sun belt,8,4,2,0.36363636363636365,0.7857142857142857,0.2857142857142857,17.3,27.607260726072603,-0.7167048637636872,40.220808270219834,67.82806899629243
33,LSU,6,4,sec,1,3,3,1.0,0.4375,0.4375,4.000000000000005,19.925742574257427,0.6403318903318902,47.874497602263766,67.8002401765212
34,Baylor,6,4,big 12,3,4,4,0.8181818181818181,0.5,0.40909090909090906,7.5,21.94719471947195,0.08522727272727249,44.7437067249302,66.69090144440216
35,Louisville,6,4,acc,4,4,3,0.7272727272727273,0.7647058823529411,0.5561497326203209,10.5,23.67986798679868,-0.24438502673796814,42.88469286070445,66.56456084750313
36,Louisiana,8,2,sun belt,8,5,1,0.36363636363636365,0.9285714285714286,0.33766233766233766,11.9,24.488448844884484,-0.5482811306340716,41.17071837812716,65.65916722301165
37,Vanderbilt,6,4,sec,1,3,3,1.0,0.5,0.5,6.3,21.25412541254125,0.017300101858925387,44.36059737917229,65.61472279171355
38,USC,5,5,big ten,2,3,5,0.9090909090909091,0.38888888888888884,0.3535353535353535,8.3,22.40924092409241,-0.2569444444444444,42.81385772596943,65.22309865006184
39,Georgia Tech,6,4,acc,4,4,3,0.7272727272727273,0.7058823529411764,0.5133689839572192,5.199999999999989,20.61881188118811,0.025210084033613356,44.40520969052226,65.02402157171036
40,Minnesota,6,4,big ten,2,4,3,0.9090909090909091,0.6111111111111112,0.5555555555555556,9.0,22.81353135313531,-0.4609328579916814,41.66336276707084,64.47689412020617
41,Texas Tech,6,4,big 12,3,4,3,0.8181818181818181,0.625,0.5113636363636364,0.4,17.846534653465348,0.3011363636363633,45.96143432206043,63.80796897552577
42,Navy,7,3,american athletic,7,5,2,0.4545454545454546,0.7857142857142857,0.35714285714285715,8.6,22.582508250825082,-0.6298701298701299,40.7105562998485,63.293064550673584
43,Michigan,5,5,big ten,2,3,4,0.9090909090909091,0.9444444444444444,0.8585858585858586,-2.5999999999999943,16.113861386138616,0.42676767676767646,46.669995116881815,62.78385650302043
44,North Carolina,6,4,acc,4,3,3,0.7272727272727273,0.5294117647058824,0.3850267379679145,7.5,21.94719471947195,-0.6862320685850096,40.392674880812876,62.33986960028483
45,Florida,5,5,sec,1,3,4,1.0,0.3125,0.3125,1.6,18.53960396039604,-0.134024064171123,43.50712885539857,62.046732815794606
46,Oklahoma,5,5,sec,1,1,5,1.0,0.1875,0.1875,3.199999999999995,19.46369636963696,-0.3173701298701299,42.47305676937909,61.936753139016055
47,Washington,6,5,big ten,2,4,4,0.9090909090909091,1.0,0.9090909090909091,2.1818181818181706,18.87563756375637,-0.23737373737373768,42.92423654325315,61.79987410700952
48,Texas State,6,4,sun belt,8,4,2,0.36363636363636365,0.7142857142857143,0.25974025974025977,15.5,26.567656765676567,-1.8170454545454544,34.01488568495124,60.5825424506278
49,Colorado State,7,3,mountain west,9,5,0,0.2727272727272727,0.9166666666666666,0.24999999999999997,0.9,18.135313531353134,-0.4556818181818184,41.692978639488146,59.82829217084128
50,Rutgers,6,4,big ten,2,3,4,0.9090909090909091,0.4444444444444444,0.404040404040404,2.9,19.29042904290429,-0.6981580510992276,40.32541232151393,59.61584136441822
51,Arkansas,5,5,sec,1,3,4,1.0,0.375,0.375,5.0,20.503300330033003,-0.9139610389610389,39.10828314572978,59.611583475762785
52,Syracuse,7,3,acc,4,4,3,0.7272727272727273,0.6470588235294117,0.4705882352941176,3.6,19.694719471947195,-0.7941176470588234,39.784200056122714,59.47891952806991
53,Virginia Tech,5,5,acc,4,3,3,0.7272727272727273,0.47058823529411764,0.3422459893048128,6.599999999999989,21.42739273927392,-1.1043629573041343,38.034416040196234,59.46180877947016
54,Cincinnati,5,5,big 12,3,3,4,0.8181818181818181,0.375,0.30681818181818177,4.0,19.925742574257423,-0.8411319073083785,39.51903955767639,59.44478213193383
55,Marshall,7,3,sun belt,8,5,1,0.36363636363636365,0.8571428571428572,0.31168831168831174,7.7,22.062706270627064,-1.2320685850097615,37.31415610805906,59.37686237868613
56,Liberty,7,2,conference usa,11,4,2,0.09090909090909094,1.0,0.09090909090909094,7.444444444444445,21.915108177484413,-1.245021645021645,37.241100830130094,59.1562090076145
57,Sam Houston,8,2,conference usa,11,5,1,0.09090909090909094,0.7,0.06363636363636366,4.6,20.27227722772277,-1.0227272727272725,38.494841423867186,58.76711865158995
58,Wisconsin,5,5,big ten,2,3,4,0.9090909090909091,0.5,0.45454545454545453,3.000000000000011,19.348184818481855,-0.8604797979797985,39.409917425219426,58.75810224370128
59,Kansas,4,6,big 12,3,3,4,0.8181818181818181,0.4375,0.3579545454545454,5.599999999999989,20.849834983498344,-1.176767676767677,37.626053313633925,58.47588829713226
