name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,23.0,32.0,0.4,12.763358778625955
mid-american,False,22.0,32.0,0.25,12.763358778625955
sec,True,56.0,12.0,0.75,12.763358778625955
sun belt,False,34.0,27.0,0.25,12.763358778625955
pac-12,False,29.0,14.0,0.75,12.763358778625955
fbs independents,False,36.0,35.0,0.4,12.763358778625955
big 12,True,27.0,12.0,0.6666666666666666,12.763358778625955
acc,True,42.0,22.0,1.0,12.763358778625955
conference usa,False,22.0,29.0,0.5,12.763358778625955
american athletic,False,28.0,23.0,0.6,12.763358778625955
big ten,True,37.0,14.0,0.75,12.763358778625955
