name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,51.96966911764706,10.851102941176471,0.8272688700639366,
big ten,True,47.11856617647059,11.425551470588236,0.8048386083898518,
big 12,True,36.653492647058826,11.079044117647058,0.7678932470683381,
acc,True,36.732536764705884,20.158088235294116,0.6456694185501721,
fbs independents,False,12.890625,7.811580882352942,0.6226691529035695,
american athletic,False,31.0,19.811580882352942,0.6100971365519238,
mountain west,False,27.03952205882353,25.890625,0.5108529554768354,
sun belt,False,28.079044117647058,28.693014705882355,0.4945926693433493,
pac-12,False,6.118566176470589,9.039522058823529,0.4036502546689304,
conference usa,False,16.267463235294116,25.693014705882355,0.38768536569338263,
mid-american,False,19.118566176470587,33.267463235294116,0.3649554354691557,
