name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,22.0,30.0,0.0,7.753731343283582
mid-american,False,20.0,28.0,0.25,7.753731343283582
sec,True,42.0,8.0,0.75,7.753731343283582
sun belt,False,28.0,25.0,0.6666666666666666,7.753731343283582
big 12,True,33.0,11.0,0.3333333333333333,7.753731343283582
american athletic,False,26.0,25.0,0.5,7.753731343283582
acc,True,43.0,15.0,0.5,7.753731343283582
conference usa,False,12.0,23.0,0.5,7.753731343283582
big ten,True,42.0,10.0,0.6666666666666666,7.753731343283582
fbs independents,False,14.0,10.0,0.625,7.753731343283582
pac-12,False,11.0,5.0,0.875,7.753731343283582
