rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Indiana,big ten,9,0,100.0,1.0,1.0
2,Ohio State,big ten,8,0,92.95181348206516,0.9014573213046496,0.9446278036369605
3,Texas Tech,big 12,8,1,88.46197125164775,0.9111727966689799,0.8703218979728224
4,Utah,big 12,7,2,84.46605614583672,0.8278972935461485,0.8536869364880234
5,BYU,big 12,8,0,83.13155744298695,0.7265787647467037,0.8877123181054203
6,Texas A&M,sec,8,0,82.78819412342354,0.6412213740458016,0.9283914774126226
7,Alabama,sec,7,1,81.87975530494958,0.6745315752949341,0.8964792333788753
8,Georgia,sec,7,1,81.74188198969978,0.6204024982650937,0.923504531544946
9,Oregon,big ten,7,1,81.58371865827493,0.8681471200555171,0.7876702993281822
10,Ole Miss,sec,8,1,78.25285333194782,0.6428406199398566,0.8577451020623512
11,Oklahoma,sec,7,2,76.55947985537901,0.6520934536201712,0.8267109073642002
12,Georgia Tech,acc,8,1,76.23352916965307,0.6206338191071015,0.8386360846293003
13,Vanderbilt,sec,7,2,75.77527406036157,0.6909553550774926,0.7937205635792204
14,North Texas,american athletic,8,1,75.77295728089517,0.7446217904233171,0.7647876094781395
15,Notre Dame,fbs independents,6,2,74.25330090492116,0.6974323386537127,0.7668179854160186
16,Louisville,acc,7,1,74.12993742047456,0.6224843858431645,0.8052766756302125
17,Texas,sec,7,2,73.86516482296163,0.6243349525792274,0.8002067920413642
18,Virginia,acc,8,1,73.14059858229143,0.6428406199398566,0.7790950289907147
19,Miami,acc,6,2,72.42160285575146,0.6828591256072173,0.7464851301461363
20,Missouri,sec,6,2,72.11244951978136,0.7161693268563498,0.7237926627662942
21,USC,big ten,6,2,71.4992465359093,0.695350451075642,0.7255689345886436
22,James Madison,sun belt,7,1,70.46601778813876,0.7161693268563498,0.6984629438179464
23,Washington,big ten,6,2,70.33954292668498,0.6495489243580846,0.7323897011408003
24,Michigan,big ten,7,2,70.2668544063892,0.5873236178579692,0.7647773504824659
25,Memphis,american athletic,8,1,70.02541338348632,0.7131621559102476,0.6933036604096563
26,Iowa,big ten,6,2,70.00486090223704,0.7078417765440667,0.6958522880491493
27,South Florida,american athletic,6,2,68.84207569825662,0.6724496877168633,0.6970205635102523
28,Nebraska,big ten,6,3,68.82998272944641,0.6261855193152903,0.7217459931294039
29,San Diego State,mountain west,7,1,68.5807843039985,0.7203331020124913,0.6672173189778661
30,Cincinnati,big 12,7,2,67.29394300952258,0.6335877862595419,0.6941287767759786
