name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,20.0,28.0,0.5,9.022900763358779
mid-american,False,18.0,30.0,0.25,9.022900763358779
sec,True,40.0,6.0,0.75,9.022900763358779
sun belt,False,29.0,22.0,0.25,9.022900763358779
pac-12,False,25.0,9.0,1.0,9.022900763358779
fbs independents,False,26.0,27.0,0.4444444444444444,9.022900763358779
big 12,True,25.0,5.0,0.6666666666666666,9.022900763358779
acc,True,34.0,14.0,1.0,9.022900763358779
conference usa,False,19.0,24.0,0.5,9.022900763358779
american athletic,False,23.0,18.0,0.75,9.022900763358779
big ten,True,32.0,10.0,0.6666666666666666,9.022900763358779
