name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,26.0,21.0,0.5,9.227941176470589
mid-american,False,16.0,36.0,0.25,9.227941176470589
sec,True,46.0,6.0,1.0,9.227941176470589
sun belt,False,26.0,28.0,0.5,9.227941176470589
big 12,True,37.0,9.0,0.6666666666666666,9.227941176470589
american athletic,False,33.0,18.0,0.5,9.227941176470589
acc,True,37.0,20.0,1.0,9.227941176470589
conference usa,False,19.0,25.0,0.6666666666666666,9.227941176470589
big ten,True,44.0,10.0,0.6666666666666666,9.227941176470589
fbs independents,False,14.0,5.0,0.7,9.227941176470589
pac-12,False,5.0,12.0,0.5,9.227941176470589
