week,season_type,start_date,home_team,away_team,home_points,away_points,completed,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,notes
1,regular,2024-08-24 04:00:00+00:00,Lincoln (CA),College of Idaho,7,45,True,True,False,Independent DII,,ii,,
1,regular,2024-08-24 16:00:00+00:00,Georgia Tech,Florida State,24,21,True,True,True,ACC,ACC,fbs,fbs,Aer Lingus College Football Classic
1,regular,2024-08-24 19:30:00+00:00,Tarleton State,McNeese,26,23,True,False,False,UAC,Southland,fcs,fcs,
1,regular,2024-08-24 20:00:00+00:00,New Mexico,Montana State,31,35,True,False,False,Mountain West,Big Sky,fbs,fcs,
1,regular,2024-08-24 23:00:00+00:00,Southeast Missouri State,North Alabama,37,15,True,True,False,Big South-OVC,UAC,fcs,fcs,FCS Kickoff
1,regular,2024-08-24 23:30:00+00:00,Norfolk State,Florida A&M,23,24,True,True,False,MEAC,SWAC,fcs,fcs,Cricket MEAC/SWAC Challenge Kickoff
1,regular,2024-08-25 00:00:00+00:00,Nevada,SMU,24,29,True,False,False,Mountain West,ACC,fbs,fbs,
1,regular,2024-08-25 03:59:00+00:00,Hawai'i,Delaware State,35,14,True,False,False,Mountain West,MEAC,fbs,fcs,
1,regular,2024-08-29 04:00:00+00:00,Sul Ross State,West Texas,21,42,True,False,True,Lone Star,Lone Star,ii,ii,
1,regular,2024-08-29 22:00:00+00:00,Villanova,Youngstown State,24,17,True,False,False,Coastal Athletic,MVFC,fcs,fcs,
1,regular,2024-08-29 22:00:00+00:00,Rutgers,Howard,44,7,True,False,False,Big Ten,MEAC,fbs,fcs,
1,regular,2024-08-29 22:00:00+00:00,Morehead State,Central State,17,10,True,False,False,Pioneer,SIAC,fcs,ii,
1,regular,2024-08-29 22:00:00+00:00,Carson Newman,Reinhardt,50,7,True,False,False,South Atlantic,,ii,,
1,regular,2024-08-29 22:00:00+00:00,Northern Michigan,Minnesota Duluth,7,35,True,False,False,GLIAC,Northern Sun,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Mars Hill,Delta State,16,47,True,False,False,South Atlantic,Gulf South,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Millersville,Clarion,7,36,True,False,True,Pennsylvania State Athletic,Pennsylvania State Athletic,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Bemidji State,Michigan Tech,19,13,True,False,False,Northern Sun,GLIAC,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Bowling Green,Fordham,41,17,True,False,False,Mid-American,Patriot,fbs,fcs,
1,regular,2024-08-29 23:00:00+00:00,Northwest Missouri State,Minnesota State,22,36,True,False,False,Mid America,Northern Sun,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Minot State,Valley City State,38,7,True,False,False,Northern Sun,,ii,,
1,regular,2024-08-29 23:00:00+00:00,Edinboro,East Stroudsburg,12,24,True,False,True,Pennsylvania State Athletic,Pennsylvania State Athletic,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Fairmont State,Seton Hill,56,24,True,False,False,Mountain East,Pennsylvania State Athletic,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Wayne State (NE),Missouri S&T,49,17,True,False,False,Northern Sun,Great Lakes,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Central Michigan,Central Connecticut,66,10,True,False,False,Mid-American,NEC,fbs,fcs,
1,regular,2024-08-29 23:00:00+00:00,University of Mary,Jamestown,23,6,True,False,False,Northern Sun,,ii,,
1,regular,2024-08-29 23:00:00+00:00,Buffalo,Lafayette,30,13,True,False,False,Mid-American,Patriot,fbs,fcs,
1,regular,2024-08-29 23:00:00+00:00,Northeastern State,Missouri Western,31,33,True,False,False,Independent DII,Mid America,ii,ii,
1,regular,2024-08-29 23:00:00+00:00,Wheeling,Mercyhurst,25,28,True,False,False,Mountain East,NEC,ii,fcs,
1,regular,2024-08-29 23:00:00+00:00,UL Monroe,Jackson State,30,14,True,False,False,Sun Belt,SWAC,fbs,fcs,
1,regular,2024-08-29 23:00:00+00:00,Wake Forest,North Carolina A&T,45,13,True,False,False,ACC,Coastal Athletic,fbs,fcs,
1,regular,2024-08-29 23:00:00+00:00,Delaware,Bryant,48,17,True,False,True,CAA,Coastal Athletic,fcs,fcs,
