name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,24.0,0.75,11.022556390977444
mid-american,False,20.0,28.0,0.25,11.022556390977444
sec,True,43.0,9.0,0.5,11.022556390977444
sun belt,False,34.0,22.0,0.5,11.022556390977444
pac-12,False,29.0,6.0,1.0,11.022556390977444
fbs independents,False,17.0,25.0,0.18181818181818182,11.022556390977444
big 12,True,30.0,12.0,0.6666666666666666,11.022556390977444
acc,True,37.0,15.0,0.75,11.022556390977444
american athletic,False,24.0,31.0,0.25,11.022556390977444
conference usa,False,18.0,19.0,0.5,11.022556390977444
big ten,True,33.0,9.0,0.6666666666666666,11.022556390977444
