name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,30.0,19.0,1.0,12.146153846153846
mid-american,False,21.0,27.0,0.75,12.146153846153846
sec,True,48.0,8.0,0.5,12.146153846153846
sun belt,False,21.0,19.0,0.5,12.146153846153846
pac-12,False,16.0,20.0,0.3333333333333333,12.146153846153846
fbs independents,False,34.0,37.0,0.1,12.146153846153846
big 12,True,24.0,6.0,0.6666666666666666,12.146153846153846
acc,True,34.0,20.0,1.0,12.146153846153846
conference usa,False,24.0,32.0,0.25,12.146153846153846
american athletic,False,24.0,19.0,0.75,12.146153846153846
big ten,True,33.0,9.0,0.6666666666666666,12.146153846153846
