name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,3.0,5.0,0.0,7.623076923076923
mid-american,False,2.0,0.0,0.0,7.623076923076923
sec,True,10.0,9.0,0.0,7.623076923076923
sun belt,False,15.0,13.0,0.0,7.623076923076923
pac-12,False,0.0,1.0,0.0,7.623076923076923
fbs independents,False,31.0,8.0,0.8333333333333334,7.623076923076923
big 12,True,16.0,6.0,1.0,7.623076923076923
acc,True,9.0,13.0,0.0,7.623076923076923
conference usa,False,16.0,27.0,0.2,7.623076923076923
american athletic,False,10.0,6.0,0.0,7.623076923076923
big ten,True,-3.0,0.0,1.0,7.623076923076923
