name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,19.0,26.0,0.5,6.580152671755725
mid-american,False,18.0,30.0,0.25,6.580152671755725
sec,True,39.0,5.0,0.75,6.580152671755725
sun belt,False,28.0,20.0,0.3333333333333333,6.580152671755725
pac-12,False,25.0,9.0,1.0,6.580152671755725
fbs independents,False,19.0,25.0,0.375,6.580152671755725
big 12,True,25.0,5.0,0.6666666666666666,6.580152671755725
acc,True,33.0,11.0,1.0,6.580152671755725
conference usa,False,19.0,24.0,0.5,6.580152671755725
american athletic,False,22.0,18.0,0.75,6.580152671755725
big ten,True,32.0,10.0,0.6666666666666666,6.580152671755725
