name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,29.0,37.0,0.2,12.813432835820896
mid-american,False,25.0,30.0,0.2,12.813432835820896
sec,True,63.0,16.0,0.8,12.813432835820896
sun belt,False,32.0,30.0,0.5,12.813432835820896
big 12,True,36.0,15.0,0.25,12.813432835820896
american athletic,False,33.0,29.0,0.6,12.813432835820896
acc,True,49.0,32.0,0.5,12.813432835820896
conference usa,False,14.0,30.0,0.4,12.813432835820896
big ten,True,53.0,16.0,0.6666666666666666,12.813432835820896
fbs independents,False,24.0,15.0,0.6666666666666666,12.813432835820896
pac-12,False,12.0,11.0,0.6666666666666666,12.813432835820896
