name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,19.0,27.0,0.5,8.106870229007633
mid-american,False,18.0,30.0,0.25,8.106870229007633
sec,True,40.0,5.0,0.75,8.106870229007633
sun belt,False,29.0,21.0,0.25,8.106870229007633
pac-12,False,25.0,9.0,1.0,8.106870229007633
fbs independents,False,23.0,26.0,0.4444444444444444,8.106870229007633
big 12,True,25.0,5.0,0.6666666666666666,8.106870229007633
acc,True,33.0,13.0,1.0,8.106870229007633
conference usa,False,19.0,24.0,0.5,8.106870229007633
american athletic,False,23.0,18.0,0.75,8.106870229007633
big ten,True,32.0,10.0,0.6666666666666666,8.106870229007633
