name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,26.0,20.0,0.5,7.705882352941177
mid-american,False,16.0,36.0,0.25,7.705882352941177
sec,True,45.0,6.0,1.0,7.705882352941177
sun belt,False,26.0,28.0,0.5,7.705882352941177
big 12,True,37.0,9.0,0.6666666666666666,7.705882352941177
american athletic,False,32.0,16.0,0.5,7.705882352941177
acc,True,37.0,18.0,1.0,7.705882352941177
conference usa,False,18.0,25.0,0.6666666666666666,7.705882352941177
big ten,True,44.0,10.0,0.6666666666666666,7.705882352941177
fbs independents,False,10.0,5.0,0.625,7.705882352941177
pac-12,False,5.0,11.0,0.5,7.705882352941177
