name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,22.0,29.0,0.0,6.91044776119403
mid-american,False,20.0,28.0,0.25,6.91044776119403
sec,True,42.0,8.0,0.75,6.91044776119403
sun belt,False,28.0,25.0,0.6666666666666666,6.91044776119403
big 12,True,33.0,11.0,0.3333333333333333,6.91044776119403
american athletic,False,26.0,23.0,0.5,6.91044776119403
acc,True,42.0,15.0,0.5,6.91044776119403
conference usa,False,12.0,23.0,0.5,6.91044776119403
big ten,True,42.0,10.0,0.6666666666666666,6.91044776119403
fbs independents,False,11.0,10.0,0.5714285714285714,6.91044776119403
pac-12,False,10.0,4.0,0.8571428571428571,6.91044776119403
