rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Georgia,sec,9,0,99.50304259634888,0.9858012170385395,1.0
2,Ohio State,big ten,9,0,96.70138787741575,0.9979716024340771,0.9503443352649702
3,Michigan,big ten,9,0,96.24695557235239,1.0,0.9422608549592676
4,Tennessee,sec,8,1,95.01915272281752,0.8823529411764707,0.9867199966406316
5,Alabama,sec,7,2,90.6812612230929,0.8782961460446248,0.9221676324850928
6,TCU,big 12,9,0,89.78421785913173,0.7464503042596348,0.979360880154531
7,Ole Miss,sec,8,1,83.2756746802595,0.7403651115618661,0.8825060888552952
8,LSU,sec,7,2,83.13838264126426,0.6795131845841784,0.9131603258587386
9,Clemson,acc,8,1,81.06135216964606,0.6876267748478703,0.8768371546149323
10,Oregon,pac-12,8,1,80.91966320372337,0.7565922920892497,0.8375220458553791
11,UCLA,pac-12,8,1,80.49621114942357,0.7281947261663286,0.8462983959015705
12,USC,pac-12,8,1,78.9248453745057,0.7383367139959431,0.8166624674561183
13,Tulane,american athletic,8,1,77.35271545825653,0.7423935091277891,0.7902914252120601
14,Utah,pac-12,7,2,76.02724880927254,0.7707910750507101,0.7546086335768876
15,Penn State,big ten,7,2,75.81399545769777,0.6937119675456389,0.7928319475938523
16,North Carolina,acc,8,1,75.21667585723092,0.6247464503042596,0.8207776937935668
17,NC State,acc,7,2,74.21489966782798,0.6206896551724138,0.8075501805660537
18,Kansas State,big 12,6,3,72.73057669214982,0.6592292089249493,0.7639623750734862
19,UCF,american athletic,7,2,72.5817904854577,0.7586206896551725,0.7081548668850256
20,Florida State,acc,6,3,72.37495104470055,0.7018255578093305,0.7355547157134458
21,Illinois,big ten,7,2,72.18948222115581,0.7119675456389453,0.7272402788275804
22,Oklahoma State,big 12,6,3,71.79613916660747,0.5375253549695741,0.815119257579575
23,Texas,big 12,6,3,70.43305742901673,0.7119675456389453,0.7002183589485176
24,Liberty,fbs independents,8,1,69.96563472132146,0.6105476673427992,0.7476379440665154
25,Kansas,big 12,6,3,69.75480911819815,0.6125760649087222,0.743302259175275
26,Minnesota,big ten,6,3,69.11384115161603,0.7484787018255578,0.6602628705803308
27,Coastal Carolina,sun belt,8,1,68.66953922905901,0.5395537525354968,0.765925506004871
28,Notre Dame,fbs independents,6,3,68.09435342889817,0.5943204868154158,0.7275867136978248
29,Mississippi State,sec,6,3,67.97783140501836,0.6064908722109533,0.7192407827328462
30,Syracuse,acc,6,3,67.71244236306697,0.6612576064908722,0.685668094398253
31,Troy,sun belt,7,2,67.68353935869791,0.5415821501014199,0.7496640631561265
32,South Alabama,sun belt,7,2,66.81416766365975,0.6916835699797159,0.6554652725287645
33,Kentucky,sec,6,3,66.78051627206865,0.5233265720081136,0.7456013269505333
34,Washington,pac-12,7,2,66.77011428240944,0.6632860040567952,0.6700785252372554
35,Louisville,acc,6,3,66.63001002870284,0.6470588235294117,0.6766607877718989
36,Cincinnati,american athletic,7,2,65.82448336933751,0.6734279918864097,0.6500692869740489
37,Wake Forest,acc,6,3,65.5338212339001,0.6247464503042595,0.6718106995884773
38,Florida,sec,5,4,64.04030322218287,0.486815415821501,0.7231040564373897
39,UTSA,conference usa,7,2,64.02223256267172,0.563894523326572,0.6813219114806416
40,Oklahoma,big 12,5,4,63.5711858178776,0.513184584178499,0.7016880826404636
41,South Carolina,sec,6,3,63.39581532911163,0.563894523326572,0.6716847232720248
42,Baylor,big 12,6,3,62.78216948763329,0.7018255578093305,0.587973460989334
43,Maryland,big ten,6,3,62.392346359574056,0.5862068965517242,0.6442323843117493
44,Duke,acc,6,3,61.78129468049458,0.6632860040567952,0.5933274544385655
45,Wisconsin,big ten,5,4,61.366058343303266,0.6369168356997971,0.6011379860586209
46,Oregon State,pac-12,6,3,61.16091072444304,0.6044624746450304,0.6154572940287226
47,East Carolina,american athletic,6,3,59.639439854272915,0.6206896551724138,0.5833123372805912
48,Purdue,big ten,5,4,59.602675467803124,0.5253549695740365,0.6340807928109514
49,App State,sun belt,5,4,58.96692116608243,0.6430020283975659,0.5609515411102711
