week,season_type,start_date,home_team,away_team,home_points,away_points,completed,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,notes
1,regular,2021-08-28 17:20:00+00:00,Illinois,Nebraska,30,22,True,False,True,Big Ten,Big Ten,fbs,fbs,
1,regular,2021-08-28 18:00:00+00:00,Fresno State,UConn,45,0,True,False,False,Mountain West,FBS Independents,fbs,fbs,
1,regular,2021-08-28 19:00:00+00:00,Central State,Kentucky State,6,20,True,True,True,SIAC,SIAC,ii,ii,
1,regular,2021-08-28 19:30:00+00:00,UCLA,Hawai'i,44,10,True,False,False,Pac-12,Mountain West,fbs,fbs,
1,regular,2021-08-28 22:00:00+00:00,Indiana State,Eastern Illinois,26,21,True,False,False,MVFC,OVC,fcs,fcs,
1,regular,2021-08-28 23:00:00+00:00,North Carolina Central,Alcorn State,23,14,True,True,False,MEAC,SWAC,fcs,fcs,Cricket MEAC/SWAC Challenge
1,regular,2021-08-29 01:30:00+00:00,New Mexico State,UTEP,3,30,True,False,False,FBS Independents,Conference USA,fbs,fbs,
1,regular,2021-08-29 02:00:00+00:00,San José State,Southern Utah,45,14,True,False,False,Mountain West,Big Sky,fbs,fcs,
1,regular,2021-09-01 23:30:00+00:00,Jacksonville State,UAB,0,31,True,True,False,AWC,Conference USA,fcs,fbs,Montgomery Kickoff
1,regular,2021-09-02 22:00:00+00:00,Stony Brook,New Hampshire,21,27,True,False,True,CAA,CAA,fcs,fcs,
1,regular,2021-09-02 22:00:00+00:00,Wingate,Shaw,30,7,True,False,False,South Atlantic,CIAA,ii,ii,
1,regular,2021-09-02 22:00:00+00:00,Wayne State (MI),Slippery Rock,21,24,True,False,False,GLIAC,Pennsylvania State Athletic,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Mars Hill,Chowan,24,30,True,False,False,South Atlantic,CIAA,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Millersville,American International,9,14,True,False,False,Pennsylvania State Athletic,Northeast 10,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Lindenwood,Angelo State,20,40,True,False,False,Great Lakes Valley,Lone Star,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Kentucky Wesleyan,Frostburg State,13,20,True,False,False,Great Midwest Athletic,Mountain East,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Northwestern (OK),Southern Arkansas,13,32,True,False,True,Great American,Great American,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Mississippi College,Albany State,0,24,True,False,False,Gulf South,SIAC,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Minnesota State,Northern State,40,34,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Drake,West Virginia Wesleyan,45,3,True,False,False,Pioneer,Mountain East,fcs,ii,
1,regular,2021-09-02 23:00:00+00:00,Arkansas Monticello,Southern Nazarene,30,23,True,False,True,Great American,Great American,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Arkansas Tech,Southeastern Oklahoma State,20,38,True,False,True,Great American,Great American,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Delta State,Bethel University Tennessee,48,14,True,False,False,Gulf South,,ii,,
1,regular,2021-09-02 23:00:00+00:00,Maine,Delaware,24,34,True,False,True,CAA,CAA,fcs,fcs,
1,regular,2021-09-02 23:00:00+00:00,Ouachita Baptist,Oklahoma Baptist,38,31,True,False,True,Great American,Great American,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Mercer,Point University,69,0,True,False,False,Southern,,fcs,,
1,regular,2021-09-02 23:00:00+00:00,Youngstown State,Incarnate Word,44,41,True,False,False,MVFC,Southland,fcs,fcs,
1,regular,2021-09-02 23:00:00+00:00,Southwestern Oklahoma State,Henderson State,13,31,True,False,True,Great American,Great American,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Carson Newman,West Georgia,7,45,True,False,False,South Atlantic,Gulf South,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Sioux Falls,Bemidji State,16,24,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Lincoln (MO),Washburn,12,76,True,False,True,Mid America,Mid America,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Upper Iowa,Minnesota Duluth,14,41,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Northwood,Gannon,21,28,True,False,False,GLIAC,Pennsylvania State Athletic,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Ball State,Western Illinois,31,21,True,False,False,Mid-American,MVFC,fbs,fcs,
1,regular,2021-09-02 23:00:00+00:00,Seton Hill,Wheeling,16,14,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Ohio Dominican,Shepherd,30,35,True,False,False,Great Midwest Athletic,Pennsylvania State Athletic,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Samford,Tennessee Tech,52,14,True,False,False,Southern,OVC,fcs,fcs,
1,regular,2021-09-02 23:00:00+00:00,Fairmont State,California (PA),14,23,True,False,False,Mountain East,Pennsylvania State Athletic,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,West Liberty,Walsh,6,27,True,False,False,Mountain East,Great Midwest Athletic,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,Wayne State (NE),University of Mary,34,27,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2021-09-02 23:00:00+00:00,UCF,Boise State,36,31,True,False,False,American Athletic,Mountain West,fbs,fbs,
1,regular,2021-09-02 23:00:00+00:00,Coastal Carolina,The Citadel,52,14,True,False,False,Sun Belt,Southern,fbs,fcs,
1,regular,2021-09-02 23:00:00+00:00,Buffalo,Wagner,69,7,True,False,False,Mid-American,NEC,fbs,fcs,
1,regular,2021-09-02 23:05:00+00:00,East Stroudsburg,Pace,35,14,True,False,False,Pennsylvania State Athletic,Northeast 10,ii,ii,
1,regular,2021-09-02 23:30:00+00:00,NC State,South Florida,45,0,True,False,False,ACC,American Athletic,fbs,fbs,
1,regular,2021-09-02 23:30:00+00:00,Ferris State,Findlay,54,14,True,False,False,GLIAC,Great Midwest Athletic,ii,ii,
1,regular,2021-09-02 23:30:00+00:00,App State,East Carolina,33,19,True,False,False,Sun Belt,American Athletic,fbs,fbs,
1,regular,2021-09-02 23:30:00+00:00,Tulsa,UC Davis,17,19,True,False,False,American Athletic,Big Sky,fbs,fcs,
1,regular,2021-09-02 23:30:00+00:00,Utah,Weber State,40,17,True,False,False,Pac-12,Big Sky,fbs,fcs,
1,regular,2021-09-02 23:30:00+00:00,Southeast Missouri State,Southern Illinois,21,47,True,False,False,OVC,MVFC,fcs,fcs,
1,regular,2021-09-02 23:30:00+00:00,Chattanooga,Austin Peay,20,30,True,False,False,Southern,OVC,fcs,fcs,
1,regular,2021-09-03 00:00:00+00:00,Murray State,Mississippi Valley State,35,0,True,False,False,OVC,SWAC,fcs,fcs,
1,regular,2021-09-03 00:00:00+00:00,Kennesaw State,Reinhardt,35,25,True,False,False,Big South,,fcs,,
1,regular,2021-09-03 00:00:00+00:00,Western Kentucky,UT Martin,59,21,True,False,False,Conference USA,OVC,fbs,fcs,
1,regular,2021-09-03 00:00:00+00:00,Colorado Mesa,William Jewell,40,3,True,False,False,Rocky Mountain,Great Lakes,ii,ii,
1,regular,2021-09-03 00:00:00+00:00,Southwest Minnesota State,Minnesota St Moorhead,21,33,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2021-09-03 00:00:00+00:00,CSU Pueblo,East Texas A&M,6,12,True,False,False,Rocky Mountain,Lone Star,ii,ii,
1,regular,2021-09-03 00:00:00+00:00,Fort Hays,Northwest Missouri State,7,15,True,False,True,Mid America,Mid America,ii,ii,
1,regular,2021-09-03 00:00:00+00:00,New Mexico,Houston Christian,27,17,True,False,False,Mountain West,Southland,fbs,fcs,
