name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,23.0,32.0,0.0,9.223880597014926
mid-american,False,20.0,28.0,0.25,9.223880597014926
sec,True,44.0,8.0,0.75,9.223880597014926
sun belt,False,28.0,26.0,0.6666666666666666,9.223880597014926
big 12,True,33.0,11.0,0.3333333333333333,9.223880597014926
american athletic,False,27.0,26.0,0.5,9.223880597014926
acc,True,43.0,16.0,0.5,9.223880597014926
conference usa,False,12.0,23.0,0.5,9.223880597014926
big ten,True,42.0,10.0,0.6666666666666666,9.223880597014926
fbs independents,False,17.0,11.0,0.7,9.223880597014926
pac-12,False,12.0,6.0,0.8888888888888888,9.223880597014926
