name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,19.0,25.0,0.5,4.916030534351145
mid-american,False,16.0,30.0,0.25,4.916030534351145
sec,True,38.0,5.0,0.75,4.916030534351145
sun belt,False,28.0,20.0,0.3333333333333333,4.916030534351145
pac-12,False,24.0,9.0,1.0,4.916030534351145
fbs independents,False,15.0,20.0,0.3333333333333333,4.916030534351145
big 12,True,25.0,5.0,0.6666666666666666,4.916030534351145
acc,True,32.0,11.0,1.0,4.916030534351145
conference usa,False,19.0,23.0,0.5,4.916030534351145
american athletic,False,22.0,18.0,0.75,4.916030534351145
big ten,True,32.0,10.0,0.6666666666666666,4.916030534351145
