name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,46.0,6.0,0.8846153846153846,
big ten,True,44.0,10.0,0.8148148148148148,
big 12,True,37.0,9.0,0.8043478260869565,
acc,True,37.0,20.0,0.6491228070175439,
fbs independents,False,14.0,5.0,0.7368421052631579,
american athletic,False,33.0,18.0,0.6470588235294118,
mountain west,False,26.0,21.0,0.5531914893617021,
sun belt,False,26.0,28.0,0.48148148148148145,
conference usa,False,19.0,25.0,0.4318181818181818,
mid-american,False,16.0,36.0,0.3076923076923077,
pac-12,False,5.0,12.0,0.29411764705882354,
