week,season_type,start_date,home_team,away_team,home_points,away_points,completed,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,notes
1,regular,2022-08-27 16:00:00+00:00,Western Kentucky,Austin Peay,38,27,True,False,False,Conference USA,Atlantic Sun,fbs,fcs,
1,regular,2022-08-27 16:30:00+00:00,Northwestern,Nebraska,31,28,True,True,True,Big Ten,Big Ten,fbs,fbs,
1,regular,2022-08-27 19:00:00+00:00,Florida Memorial University,Edward Waters,39,34,True,True,False,,SIAC,,ii,
1,regular,2022-08-27 19:30:00+00:00,Jacksonville State,Stephen F. Austin,42,17,True,True,False,Atlantic Sun,Western Athletic,fcs,fcs,FCS Kickoff
1,regular,2022-08-27 19:30:00+00:00,UNLV,Idaho State,52,21,True,False,False,Mountain West,Big Sky,fbs,fcs,
1,regular,2022-08-27 20:00:00+00:00,Illinois,Wyoming,38,6,True,False,False,Big Ten,Mountain West,fbs,fbs,
1,regular,2022-08-27 20:00:00+00:00,Utah State,UConn,31,20,True,False,False,Mountain West,FBS Independents,fbs,fbs,
1,regular,2022-08-27 21:00:00+00:00,Florida State,Duquesne,47,7,True,False,False,ACC,NEC,fbs,fcs,
1,regular,2022-08-27 23:00:00+00:00,Alabama State,Howard,23,13,True,True,False,SWAC,MEAC,fcs,fcs,Cricket MEAC/SWAC Challenge Kickoff
1,regular,2022-08-27 23:00:00+00:00,Mercer,Morehead State,63,13,True,False,False,Southern,Pioneer,fcs,fcs,
1,regular,2022-08-27 23:00:00+00:00,Florida Atlantic,Charlotte,43,13,True,False,True,Conference USA,Conference USA,fbs,fbs,
1,regular,2022-08-28 00:15:00+00:00,North Carolina,Florida A&M,56,24,True,False,False,ACC,SWAC,fbs,fcs,
1,regular,2022-08-28 01:00:00+00:00,UTEP,North Texas,13,31,True,False,True,Conference USA,Conference USA,fbs,fbs,
1,regular,2022-08-28 02:00:00+00:00,New Mexico State,Nevada,12,23,True,False,False,FBS Independents,Mountain West,fbs,fbs,
1,regular,2022-08-28 02:30:00+00:00,Hawai'i,Vanderbilt,10,63,True,False,False,Mountain West,SEC,fbs,fbs,
1,regular,2022-09-01 18:00:00+00:00,New Mexico Highlands,Eastern New Mexico,18,34,True,False,False,Rocky Mountain,Lone Star,ii,ii,
1,regular,2022-09-01 21:30:00+00:00,Southern Connecticut State,Shepherd,7,48,True,False,False,Northeast 10,Pennsylvania State Athletic,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Saginaw Valley State,West Virginia Wesleyan,72,0,True,False,False,GLIAC,Mountain East,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Ashland,Notre Dame College,31,14,True,False,False,Great Midwest Athletic,Mountain East,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Michigan Tech,Wisconsin Platteville,23,13,True,False,False,GLIAC,Wisconsin,ii,iii,
1,regular,2022-09-01 22:00:00+00:00,Bluefield State,Johnson C. Smith,35,34,True,False,False,Independent DII,CIAA,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Clarion,West Liberty,14,21,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Indiana State,North Alabama,17,14,True,False,False,MVFC,Atlantic Sun,fcs,fcs,
1,regular,2022-09-01 22:00:00+00:00,Chowan,Barton,3,17,True,False,False,CIAA,South Atlantic,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Campbell,The Citadel,29,10,True,False,False,Big South,Southern,fcs,fcs,
1,regular,2022-09-01 22:00:00+00:00,Wagner,Fordham,31,48,True,False,False,NEC,Patriot,fcs,fcs,
1,regular,2022-09-01 22:00:00+00:00,Tusculum,St. Augustine's,70,13,True,False,False,South Atlantic,CIAA,ii,ii,
1,regular,2022-09-01 22:00:00+00:00,Akron,Saint Francis,30,23,True,False,False,Mid-American,NEC,fbs,fcs,
1,regular,2022-09-01 22:30:00+00:00,California (PA),Fairmont State,35,15,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Lakeland,Illinois College,20,38,True,False,False,NACC,Midwest,iii,iii,
1,regular,2022-09-01 23:00:00+00:00,Toledo,Long Island University,37,0,True,False,False,Mid-American,NEC,fbs,fcs,
1,regular,2022-09-01 23:00:00+00:00,Trine,Anderson (IN),38,0,True,False,False,Michigan,Heartland,iii,iii,
1,regular,2022-09-01 23:00:00+00:00,Millsaps,Belhaven,21,49,True,False,False,Southern Athletic,USA South,iii,iii,
1,regular,2022-09-01 23:00:00+00:00,Minnesota St Moorhead,Sioux Falls,14,27,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Minnesota Duluth,Southwest Minnesota State,31,21,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Gannon,Charleston (WV),47,13,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Saint Anselm,Millersville,28,10,True,False,False,Northeast 10,Pennsylvania State Athletic,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Washburn,Lincoln (MO),45,3,True,False,True,Mid America,Mid America,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Grand Valley State,Colorado School of Mines,25,22,True,False,False,GLIAC,Rocky Mountain,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Quincy,Glenville State,15,44,True,False,False,Great Lakes,Mountain East,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Northern Michigan,McKendree,24,31,True,False,False,GLIAC,Great Lakes,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Southern Nazarene,Arkansas Monticello,26,40,True,False,True,Great American,Great American,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Southeastern Oklahoma State,Arkansas Tech,41,34,True,False,True,Great American,Great American,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Oklahoma Baptist,Ouachita Baptist,32,42,True,False,True,Great American,Great American,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,East Central,Harding,12,29,True,False,True,Great American,Great American,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Frostburg State,American International,21,7,True,False,False,Mountain East,Northeast 10,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,Pace,East Stroudsburg,31,16,True,False,False,Northeast 10,Pennsylvania State Athletic,ii,ii,
1,regular,2022-09-01 23:00:00+00:00,UCF,South Carolina State,56,10,True,False,False,American Athletic,MEAC,fbs,fcs,
