name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,20.0,28.0,0.5,12.122137404580153
mid-american,False,18.0,30.0,0.25,12.122137404580153
sec,True,49.0,7.0,0.75,12.122137404580153
sun belt,False,31.0,23.0,0.25,12.122137404580153
pac-12,False,26.0,10.0,1.0,12.122137404580153
fbs independents,False,33.0,33.0,0.4444444444444444,12.122137404580153
big 12,True,25.0,5.0,0.6666666666666666,12.122137404580153
acc,True,37.0,18.0,1.0,12.122137404580153
conference usa,False,19.0,26.0,0.4,12.122137404580153
american athletic,False,24.0,20.0,0.75,12.122137404580153
big ten,True,32.0,10.0,0.6666666666666666,12.122137404580153
