name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,22.0,31.0,0.0,8.477611940298507
mid-american,False,20.0,28.0,0.25,8.477611940298507
sec,True,44.0,8.0,0.75,8.477611940298507
sun belt,False,28.0,26.0,0.6666666666666666,8.477611940298507
big 12,True,33.0,11.0,0.3333333333333333,8.477611940298507
american athletic,False,27.0,25.0,0.5,8.477611940298507
acc,True,43.0,15.0,0.5,8.477611940298507
conference usa,False,12.0,23.0,0.5,8.477611940298507
big ten,True,42.0,10.0,0.6666666666666666,8.477611940298507
fbs independents,False,15.0,11.0,0.6666666666666666,8.477611940298507
pac-12,False,11.0,5.0,0.875,8.477611940298507
