name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,43.21641791044776,9.723880597014926,0.8163236537919368,
big ten,True,40.52238805970149,10.492537313432836,0.7943241661790521,
big 12,True,33.492537313432834,12.23134328358209,0.7324955116696589,
acc,True,41.73880597014925,16.21641791044776,0.720190574298223,
pac-12,False,15.156716417910449,4.970149253731344,0.7530589543937709,
sun belt,False,30.708955223880597,25.98507462686567,0.5416611820455443,
american athletic,False,26.246268656716417,25.955223880597018,0.5027877055039314,
fbs independents,False,10.0,12.201492537313435,0.45042016806722684,
mountain west,False,22.723880597014926,28.0,0.44799176107106076,
mid-american,False,20.492537313432837,28.23134328358209,0.4205850819421045,
conference usa,False,13.970149253731343,22.507462686567166,0.3829787234042553,
