rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Georgia,sec,12,0,99.2438343415542,1.0,0.988366682177757
2,Alabama,sec,11,1,93.63636363636363,0.818181818181818,1.0
3,Oklahoma State,big 12,11,1,88.23311053767078,0.696969696969697,0.9821410945189445
4,Cincinnati,american athletic,12,0,86.1606557986481,0.8360881542699725,0.8753472369107547
5,Ohio State,big ten,10,2,85.9341554211261,0.8484848484848487,0.8651874726793293
6,Michigan,big ten,11,1,85.6489308243824,0.775482093663912,0.9001085776330074
7,Notre Dame,fbs independents,11,1,83.26382826530886,0.7231404958677686,0.8915986293836455
8,Ole Miss,sec,10,2,82.28113659117508,0.6225895316804408,0.930623122805533
9,Baylor,big 12,10,2,81.37568309688534,0.6735537190082646,0.8892508143322475
10,Oklahoma,big 12,10,2,81.28404588206187,0.6597796143250689,0.8952578366259147
11,Pittsburgh,acc,10,2,79.34279766231202,0.7658402203856749,0.8082829222894369
12,San Diego State,mountain west,11,1,78.11802081049933,0.6143250688705234,0.8710252830774002
13,Houston,american athletic,11,1,77.80500123704151,0.7548209366391186,0.7905579762257285
14,Wake Forest,acc,10,2,76.5002974027256,0.6707988980716255,0.8157282456956724
15,Clemson,acc,9,3,75.91795850975596,0.637741046831956,0.824569567240577
16,Iowa,big ten,10,2,75.48899353533643,0.581267217630854,0.8483790910501007
17,Louisiana,sun belt,11,1,75.30897194800067,0.6528925619834711,0.8070420350550643
18,App State,sun belt,10,2,75.27441490500419,0.7203856749311295,0.7701679428063793
19,Michigan State,big ten,10,2,74.230508904776,0.5454545454545455,0.8483015355979525
20,Coastal Carolina,sun belt,10,2,73.5033464216171,0.7796143250688709,0.7110283852954863
21,Kentucky,sec,9,3,73.13051621165332,0.6280991735537191,0.78687761749651
22,Arkansas,sec,8,4,73.01786531502256,0.566115702479339,0.8185202419730107
23,NC State,acc,9,3,73.00086400619418,0.6639118457300276,0.7655992216252802
24,BYU,fbs independents,10,2,72.10776810791617,0.5950413223140496,0.7889434127219143
25,Texas A&M,sec,8,4,71.3391326864824,0.6639118457300276,0.7400341243989451
26,UTSA,conference usa,11,1,70.543157365781,0.6859504132231405,0.7159214292764781
27,Oregon,pac-12,10,2,69.45606707969752,0.5867768595041323,0.7525981076469674
28,Iowa State,big 12,7,5,69.45433650349256,0.6446280991735538,0.7214208158833565
29,Tennessee,sec,7,5,69.17608869267147,0.6294765840220387,0.7252985884907709
30,Fresno State,mountain west,9,3,68.89135763062325,0.6625344352617081,0.7031177291763611
31,Wisconsin,big ten,8,4,68.72261683632723,0.5977961432506887,0.735380797270048
32,Air Force,mountain west,9,3,68.65290025343326,0.6391184573002755,0.7120577576603634
33,Army,fbs independents,8,3,68.48815202080607,0.6510142749812172,0.7031177291763611
34,Nevada,mountain west,8,4,68.48644446068195,0.6446280991735538,0.7065301690708856
35,Mississippi State,sec,7,5,67.6677377010513,0.5358126721763086,0.752527602690469
36,Purdue,big ten,8,4,67.20859981002118,0.5578512396694213,0.7335970218706375
37,Penn State,big ten,7,5,66.81487769953863,0.5991735537190084,0.705289281836513
38,Auburn,sec,6,6,65.66005458365541,0.5647382920110193,0.706064836357996
39,Boise State,mountain west,7,5,65.49849247583923,0.6101928374655647,0.6791037409929919
40,Minnesota,big ten,8,4,65.09956581765879,0.5716253443526171,0.6937335194664184
41,Utah,pac-12,9,3,64.9281234016206,0.6694214876033059,0.6384364820846905
42,Kansas State,big 12,7,5,64.25537792579546,0.5289256198347106,0.7037381727935473
43,Miami,acc,7,5,64.0931364065803,0.5358126721763086,0.6975337366216845
44,Utah State,mountain west,9,3,63.14100542631783,0.5385674931129477,0.681402202574841
45,SMU,american athletic,8,4,61.744065085048206,0.6074380165289257,0.6228266847159355
46,UCF,american athletic,8,4,60.37652851540918,0.5578512396694215,0.6284882327227603
47,Louisville,acc,6,6,60.23313425297434,0.5234159779614326,0.6448242311434493
48,UCLA,pac-12,8,4,60.053192784907324,0.603305785123967,0.5990383123933612
49,LSU,sec,6,6,59.921758726911236,0.4710743801652893,0.6682177757096324
50,West Virginia,big 12,6,6,59.297011102607776,0.48347107438016534,0.6519311307584922
51,Western Kentucky,conference usa,8,4,59.02447419326307,0.7107438016528926,0.5253606328524896
52,Florida,sec,6,6,58.71841217710333,0.5289256198347108,0.61855408435213
53,Texas,big 12,5,7,57.871714949742795,0.5110192837465566,0.6151698464402047
54,Texas Tech,big 12,6,6,56.77748122965771,0.4077134986225896,0.6539616735056474
55,Liberty,fbs independents,7,5,56.48536637580168,0.6088154269972453,0.5411819450907399
56,South Carolina,sec,6,6,56.347631738511225,0.393939393939394,0.6547654300097298
57,North Carolina,acc,6,6,56.29135916891321,0.522038567493113,0.5849232201023733
58,UAB,conference usa,8,4,55.002262568149455,0.5509641873278238,0.5495156309488557
59,Maryland,big ten,6,6,54.48870766978554,0.35674931129476584,0.6461920272995191
60,Arizona State,pac-12,8,4,54.48398704247091,0.5867768595041324,0.5222584147665581
61,East Carolina,american athletic,7,5,54.22068948719823,0.49862258953168054,0.5656753669782986
62,Central Michigan,mid-american,8,4,53.818788801761855,0.5550964187327825,0.5290832945556072
63,Virginia,acc,6,6,52.81762803379624,0.487603305785124,0.5500232666356445
64,Boston College,acc,6,6,52.51076802971977,0.48347107438016534,0.5475273911755997
65,Missouri,sec,6,6,52.47794476769899,0.359504132231405,0.6137738483015356
66,Oregon State,pac-12,7,5,52.245964232194616,0.5550964187327825,0.504885993485342
67,Western Michigan,mid-american,7,5,51.83774053406863,0.4793388429752067,0.5393981696913293
68,Georgia State,sun belt,7,5,51.82875115211508,0.418732782369146,0.5718939041414611
69,Toledo,mid-american,7,5,51.65014286868003,0.6597796143250689,0.43935163642004027
70,Marshall,conference usa,7,5,51.43268635421434,0.6280991735537191,0.45306485045898726
71,Tulsa,american athletic,6,6,50.81007951677184,0.42011019283746565,0.5554803502686239
72,Northern Illinois,mid-american,8,4,50.24074237873468,0.3966942148760331,0.5593299208934387
73,TCU,big 12,5,7,49.81352079960312,0.3388429752066116,0.5839079487287956
74,Washington State,pac-12,7,5,49.43290620148779,0.5110192837465566,0.48534201954397393
75,Nebraska,big ten,3,9,49.42444881147872,0.5289256198347108,0.47557003257328984
76,Virginia Tech,acc,6,6,49.18988523074991,0.47382920110192844,0.501628664495114
77,Syracuse,acc,5,7,49.11663699048952,0.418732782369146,0.5301690708856832
78,Eastern Michigan,mid-american,7,5,48.814064969676465,0.4944903581267218,0.48472157592678766
79,Kent State,mid-american,7,5,48.80756569459561,0.42286501377410474,0.5231890801923376
80,Florida State,acc,5,7,48.16335229275709,0.4600550964187328,0.4932526756630991
81,Wyoming,mountain west,6,6,48.15419626272455,0.45316804407713507,0.49682022646192026
82,Memphis,american athletic,6,6,48.12596223241766,0.45592286501377416,0.4949024916451626
83,Illinois,big ten,5,7,46.76620684615946,0.41322314049586784,0.4969753373662168
84,Miami (OH),mid-american,6,6,46.52077268304689,0.5289256198347108,0.43089809213587715
85,Rutgers,big ten,5,7,46.34299123046532,0.37465564738292034,0.5112314395702017
86,Hawai'i,mountain west,6,7,45.49428214663631,0.3989192625556262,0.48510935318752907
87,UTEP,conference usa,7,5,43.734711641137466,0.4490358126721764,0.43105320304017375
88,San José State,mountain west,5,7,41.19525450366433,0.33471074380165294,0.4535442841631766
