name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,21.0,13.0,1.0,3.0076923076923077
mid-american,False,13.0,23.0,0.6666666666666666,3.0076923076923077
sec,True,30.0,6.0,0.3333333333333333,3.0076923076923077
sun belt,False,17.0,12.0,0.5,3.0076923076923077
pac-12,False,16.0,16.0,0.5,3.0076923076923077
fbs independents,False,12.0,9.0,0.0,3.0076923076923077
big 12,True,23.0,4.0,0.6666666666666666,3.0076923076923077
acc,True,22.0,12.0,1.0,3.0076923076923077
conference usa,False,18.0,19.0,0.5,3.0076923076923077
american athletic,False,17.0,15.0,0.6666666666666666,3.0076923076923077
big ten,True,24.0,7.0,1.0,3.0076923076923077
