name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,20.0,28.0,0.5,11.931297709923664
mid-american,False,18.0,30.0,0.25,11.931297709923664
sec,True,49.0,7.0,0.75,11.931297709923664
sun belt,False,31.0,23.0,0.25,11.931297709923664
pac-12,False,26.0,10.0,1.0,11.931297709923664
fbs independents,False,31.0,33.0,0.4444444444444444,11.931297709923664
big 12,True,25.0,5.0,0.6666666666666666,11.931297709923664
acc,True,37.0,18.0,1.0,11.931297709923664
conference usa,False,19.0,26.0,0.4,11.931297709923664
american athletic,False,24.0,19.0,0.75,11.931297709923664
big ten,True,32.0,10.0,0.6666666666666666,11.931297709923664
