week,season_type,start_date,home_team,away_team,home_points,away_points,completed,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,notes
1,regular,2025-08-23 16:00:00+00:00,Kansas State,Iowa State,21,24,True,True,True,Big 12,Big 12,fbs,fbs,Aer Lingus College Football Classic
1,regular,2025-08-23 17:00:00+00:00,Nicholls,Incarnate Word,20,6,True,False,True,Southland,Southland,fcs,fcs,
1,regular,2025-08-23 20:00:00+00:00,UNLV,Idaho State,38,31,True,False,False,Mountain West,Big Sky,fbs,fcs,
1,regular,2025-08-23 20:30:00+00:00,Portland State,Tarleton State,0,42,True,False,False,Big Sky,UAC,fcs,fcs,
1,regular,2025-08-23 22:30:00+00:00,Kansas,Fresno State,31,7,True,False,False,Big 12,Mountain West,fbs,fbs,
1,regular,2025-08-23 23:00:00+00:00,Western Kentucky,Sam Houston,41,24,True,False,True,Conference USA,Conference USA,fbs,fbs,
1,regular,2025-08-23 23:30:00+00:00,Southern,North Carolina Central,14,31,True,True,False,SWAC,MEAC,fcs,fcs,Cricket MEAC/SWAC Challenge Kickoff
1,regular,2025-08-23 23:30:00+00:00,Hawai'i,Stanford,23,20,True,False,False,Mountain West,ACC,fbs,fbs,
1,regular,2025-08-28 20:00:00+00:00,Central Washington,Colorado Mesa,41,14,True,False,False,Lone Star,Rocky Mountain,ii,ii,
1,regular,2025-08-28 21:30:00+00:00,South Florida,Boise State,34,7,True,False,False,American Athletic,Mountain West,fbs,fbs,
1,regular,2025-08-28 22:00:00+00:00,Ferris State,Pittsburg State,34,17,True,False,False,GLIAC,Mid America,ii,ii,
1,regular,2025-08-28 22:00:00+00:00,Clarion,Wheeling,34,0,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2025-08-28 22:00:00+00:00,Youngstown State,Mercyhurst,24,15,True,False,False,MVFC,NEC,fcs,fcs,
1,regular,2025-08-28 22:00:00+00:00,Marian (IN),Indianapolis,21,45,True,True,False,,Great Lakes,,ii,
1,regular,2025-08-28 22:00:00+00:00,Bowling Green,Lafayette,26,7,True,False,False,Mid-American,Patriot,fbs,fcs,
1,regular,2025-08-28 22:00:00+00:00,Rutgers,Ohio,34,31,True,False,False,Big Ten,Mid-American,fbs,fbs,
1,regular,2025-08-28 22:00:00+00:00,Saginaw Valley State,Northeastern State,21,28,True,False,False,GLIAC,Independent DII,ii,ii,
1,regular,2025-08-28 22:00:00+00:00,Indiana State,McKendree,41,24,True,False,False,MVFC,Great Lakes,fcs,ii,
1,regular,2025-08-28 22:00:00+00:00,Northern Michigan,Minnesota St Moorhead,37,44,True,False,False,GLIAC,Northern Sun,ii,ii,
1,regular,2025-08-28 22:00:00+00:00,Michigan Tech,Bemidji State,37,17,True,False,False,GLIAC,Northern Sun,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Minnesota State,Northwest Missouri State,38,14,True,False,False,Northern Sun,Mid America,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Seton Hill,Fairmont State,21,24,True,False,False,Pennsylvania State Athletic,Mountain East,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,NC State,East Carolina,24,17,True,False,False,ACC,American Athletic,fbs,fbs,
1,regular,2025-08-28 23:00:00+00:00,Walsh,West Liberty,38,10,True,False,False,Great Midwest Athletic,Mountain East,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Barton,Virginia State,7,35,True,False,False,Carolinas,CIAA,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Norfolk State,Towson,7,27,True,False,False,MEAC,Coastal Athletic,fcs,fcs,
1,regular,2025-08-28 23:00:00+00:00,St. Thomas (MN),Lindenwood,35,13,True,False,False,Pioneer,OVC-Big South,fcs,fcs,
1,regular,2025-08-28 23:00:00+00:00,Eastern Illinois,Dayton,24,14,True,False,False,OVC-Big South,Pioneer,fcs,fcs,
1,regular,2025-08-28 23:00:00+00:00,UCF,Jacksonville State,17,10,True,False,False,Big 12,Conference USA,fbs,fbs,
1,regular,2025-08-28 23:00:00+00:00,Akron,Wyoming,0,10,True,False,False,Mid-American,Mountain West,fbs,fbs,
1,regular,2025-08-28 23:00:00+00:00,Delta State,Central Missouri,31,23,True,False,False,Gulf South,Mid America,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Delaware,Delaware State,35,17,True,False,False,Conference USA,MEAC,fbs,fcs,
1,regular,2025-08-28 23:00:00+00:00,Wayne State (NE),Nebraska Kearney,21,28,True,False,False,Northern Sun,Mid America,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,Charleston (WV),Livingstone,39,10,True,False,False,Mountain East,CIAA,ii,ii,
1,regular,2025-08-28 23:00:00+00:00,UL Monroe,Saint Francis,29,0,True,False,False,Sun Belt,NEC,fbs,fcs,
1,regular,2025-08-28 23:05:00+00:00,East Stroudsburg,Edinboro,14,29,True,False,True,Pennsylvania State Athletic,Pennsylvania State Athletic,ii,ii,
1,regular,2025-08-28 23:30:00+00:00,University of Mary,Midland,28,22,True,False,False,Northern Sun,,ii,,
1,regular,2025-08-28 23:30:00+00:00,Quincy,Concordia St. Paul,38,7,True,False,False,Great Lakes,Northern Sun,ii,ii,
1,regular,2025-08-28 23:30:00+00:00,Houston Christian,Arkansas Baptist,69,0,True,False,False,Southland,,fcs,,
1,regular,2025-08-28 23:30:00+00:00,Duke,Elon,45,17,True,False,False,ACC,Coastal Athletic,fbs,fcs,
1,regular,2025-08-28 23:30:00+00:00,Missouri,Central Arkansas,61,6,True,False,False,SEC,UAC,fbs,fcs,
1,regular,2025-08-28 23:30:00+00:00,Oklahoma State,UT Martin,27,7,True,False,False,Big 12,OVC-Big South,fbs,fcs,
1,regular,2025-08-28 23:30:00+00:00,Samford,West Georgia,3,34,True,False,False,Southern,UAC,fcs,fcs,
1,regular,2025-08-28 23:30:00+00:00,Drake,Upper Iowa,41,7,True,False,False,Pioneer,Great Lakes,fcs,ii,
1,regular,2025-08-29 00:00:00+00:00,Eastern New Mexico,New Mexico Highlands,28,34,True,False,False,Lone Star,Rocky Mountain,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Winona State,Minnesota Duluth,7,35,True,False,True,Northern Sun,Northern Sun,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,CSU Pueblo,South Dakota Mines,43,0,True,False,True,Rocky Mountain,Rocky Mountain,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Western Colorado,West Texas,45,28,True,False,False,Rocky Mountain,Lone Star,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Emporia State,Minot State,27,7,True,False,False,Mid America,Northern Sun,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Black Hills State,Sioux Falls,21,27,True,False,False,Rocky Mountain,Northern Sun,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Houston,Stephen F. Austin,27,0,True,False,False,Big 12,Southland,fbs,fcs,
1,regular,2025-08-29 00:00:00+00:00,Fort Hays,Angelo State,7,28,True,False,False,Mid America,Lone Star,ii,ii,
1,regular,2025-08-29 00:00:00+00:00,Northwestern State,Alcorn State,20,10,True,False,False,Southland,SWAC,fcs,fcs,
