name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,24.0,23.0,0.75,4.902255639097745
mid-american,False,19.0,27.0,0.3333333333333333,4.902255639097745
sec,True,33.0,8.0,0.5,4.902255639097745
sun belt,False,32.0,16.0,0.6666666666666666,4.902255639097745
pac-12,False,29.0,5.0,1.0,4.902255639097745
fbs independents,False,8.0,13.0,0.0,4.902255639097745
big 12,True,30.0,12.0,0.6666666666666666,4.902255639097745
acc,True,29.0,13.0,1.0,4.902255639097745
american athletic,False,23.0,29.0,0.25,4.902255639097745
conference usa,False,14.0,17.0,0.5,4.902255639097745
big ten,True,31.0,9.0,0.6666666666666666,4.902255639097745
