name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,23.0,0.75,8.105263157894736
mid-american,False,20.0,28.0,0.25,8.105263157894736
sec,True,35.0,8.0,0.5,8.105263157894736
sun belt,False,33.0,17.0,0.6666666666666666,8.105263157894736
pac-12,False,29.0,6.0,1.0,8.105263157894736
fbs independents,False,11.0,21.0,0.125,8.105263157894736
big 12,True,30.0,12.0,0.6666666666666666,8.105263157894736
acc,True,34.0,14.0,1.0,8.105263157894736
american athletic,False,24.0,31.0,0.25,8.105263157894736
conference usa,False,14.0,17.0,0.5,8.105263157894736
big ten,True,33.0,9.0,0.6666666666666666,8.105263157894736
