name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,28.0,27.0,0.5,12.808823529411764
mid-american,False,18.0,39.0,0.4,12.808823529411764
sec,True,58.0,16.0,0.8,12.808823529411764
sun belt,False,30.0,34.0,0.5,12.808823529411764
big 12,True,41.0,13.0,0.6666666666666666,12.808823529411764
american athletic,False,39.0,24.0,0.6,12.808823529411764
acc,True,50.0,30.0,1.0,12.808823529411764
conference usa,False,23.0,32.0,0.6,12.808823529411764
big ten,True,54.0,14.0,0.6666666666666666,12.808823529411764
fbs independents,False,19.0,6.0,0.6923076923076923,12.808823529411764
pac-12,False,7.0,14.0,0.5454545454545454,12.808823529411764
