name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,8.0,7.0,1.0,1.0588235294117647
mid-american,False,4.0,9.0,0.0,1.0588235294117647
sec,True,14.0,2.0,1.0,1.0588235294117647
sun belt,False,7.0,7.0,1.0,1.0588235294117647
big 12,True,14.0,3.0,1.0,1.0588235294117647
american athletic,False,9.0,5.0,0.0,1.0588235294117647
acc,True,12.0,5.0,1.0,1.0588235294117647
conference usa,False,6.0,6.0,1.0,1.0588235294117647
big ten,True,16.0,2.0,1.0,1.0588235294117647
fbs independents,False,1.0,1.0,1.0,1.0588235294117647
pac-12,False,1.0,1.0,1.0,1.0588235294117647
