name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
big 12,True,16.424038461538462,6.235576923076923,0.7248154120342867,
sec,True,12.21442307692308,9.424038461538462,0.564477426235336,
acc,True,10.272115384615386,13.565384615384616,0.43092251220200883,
big ten,True,-1.0682692307692285,0.6125000000000007,0.0,
fbs independents,False,30.81153846153846,8.942307692307693,0.7750580495356036,
mid-american,False,2.8951923076923087,1.6019230769230788,0.6437887534744493,
american athletic,False,11.31923076923077,6.518269230769231,0.6345749555280039,
sun belt,False,15.141346153846154,13.047115384615385,0.5371469504707327,
pac-12,False,1.3192307692307708,1.6596153846153854,0.4428663653970305,
mountain west,False,4.507692307692309,5.753846153846155,0.43928035982009,
conference usa,False,16.51826923076923,27.471153846153847,0.3755054755295198,
