name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,29.0,37.0,0.2,12.537313432835822
mid-american,False,25.0,30.0,0.2,12.537313432835822
sec,True,67.0,20.0,0.8,12.537313432835822
sun belt,False,32.0,30.0,0.5,12.537313432835822
big 12,True,36.0,15.0,0.25,12.537313432835822
american athletic,False,31.0,27.0,0.6,12.537313432835822
acc,True,40.0,28.0,0.5,12.537313432835822
conference usa,False,13.0,27.0,0.4,12.537313432835822
big ten,True,53.0,16.0,0.6666666666666666,12.537313432835822
fbs independents,False,24.0,15.0,0.6666666666666666,12.537313432835822
pac-12,False,12.0,11.0,0.6666666666666666,12.537313432835822
