name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,17.0,9.0,1.0,2.046153846153846
mid-american,False,8.0,16.0,0.5,2.046153846153846
sec,True,23.0,3.0,0.5,2.046153846153846
sun belt,False,10.0,9.0,0.0,2.046153846153846
pac-12,False,11.0,11.0,0.5,2.046153846153846
fbs independents,False,8.0,8.0,0.0,2.046153846153846
big 12,True,16.0,4.0,0.5,2.046153846153846
acc,True,17.0,9.0,1.0,2.046153846153846
conference usa,False,17.0,12.0,0.5,2.046153846153846
american athletic,False,11.0,11.0,1.0,2.046153846153846
big ten,True,17.0,3.0,1.0,2.046153846153846
