name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,24.0,23.0,0.75,5.654135338345864
mid-american,False,20.0,28.0,0.25,5.654135338345864
sec,True,34.0,8.0,0.5,5.654135338345864
sun belt,False,32.0,17.0,0.6666666666666666,5.654135338345864
pac-12,False,29.0,5.0,1.0,5.654135338345864
fbs independents,False,9.0,16.0,0.16666666666666666,5.654135338345864
big 12,True,30.0,12.0,0.6666666666666666,5.654135338345864
acc,True,33.0,13.0,1.0,5.654135338345864
american athletic,False,23.0,30.0,0.25,5.654135338345864
conference usa,False,14.0,17.0,0.5,5.654135338345864
big ten,True,32.0,9.0,0.6666666666666666,5.654135338345864
