rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Indiana,big ten,16,0,100.0,1.0,1.0
2,Oregon,big ten,13,2,85.20527051087485,0.8107363075807036,0.8742999960853881
3,Texas Tech,big 12,12,2,84.65188481170594,0.9600497435100264,0.7853868275208464
4,Ohio State,big ten,12,2,84.18399856161017,0.8991139437276542,0.8110001620175735
5,Miami,acc,13,3,79.96763721897788,0.7595212187159956,0.8212983779064312
6,Georgia,sec,12,2,78.60356133915603,0.7312295973884655,0.8155465450855345
7,Notre Dame,fbs independents,10,2,78.56808438162443,0.9038810301051868,0.7220345896606599
8,Utah,big 12,11,2,78.44187076649516,0.868502552942161,0.7391427909772234
9,Ole Miss,sec,13,2,76.76511685783383,0.7550235763511063,0.7744506413160788
10,BYU,big 12,12,2,75.46891402922368,0.6926783771179854,0.7880795512322183
11,Oklahoma,sec,10,3,71.40771284175432,0.6662760525654977,0.7398161692609524
12,North Texas,american athletic,12,2,71.12330792414883,0.8021140991761231,0.6622971454305311
13,Alabama,sec,11,4,70.94682390928016,0.6586869785999275,0.7368119947428107
14,James Madison,sun belt,12,2,70.84119861259822,0.8046012746774445,0.656617753829041
15,Texas A&M,sec,11,2,70.02078457979168,0.701096509583996,0.6997293345284896
16,Iowa,big ten,9,4,69.76590737810882,0.7091319996651878,0.6914813444588805
17,Texas,sec,10,3,69.63014659831974,0.6555620657905751,0.7182380660869172
18,Vanderbilt,sec,10,3,69.50381315610036,0.7506486984180128,0.6650939801764604
19,USC,big ten,9,4,69.23900648591427,0.701096509583996,0.687701979238068
20,Washington,big ten,9,4,67.28427094676015,0.7466309533774169,0.6331105781315469
21,Virginia,acc,11,3,66.4479422521689,0.6740245608580756,0.65933973264825
22,Tulane,american athletic,11,3,65.33597780116617,0.5446914347893673,0.7118735012852048
23,Arizona,big 12,9,4,65.00976949232658,0.6917217711559388,0.6276847307979805
24,Navy,american athletic,11,2,64.36842040298778,0.5912781451410396,0.6719028511238676
25,Michigan,big ten,9,4,64.17786858176974,0.6033313802628275,0.6624810811164735
26,Illinois,big ten,9,4,64.09652860820205,0.5792249100192517,0.6742101039619729
27,South Florida,american athletic,9,4,63.598337289736364,0.776094417008454,0.5605389645298535
28,TCU,big 12,9,4,62.81565618164569,0.5725286682849251,0.6581100429488203
29,Old Dominion,sun belt,10,3,62.59535914690846,0.7131497447057839,0.5790018166493234
30,SMU,acc,9,4,62.14614758204097,0.6823470327278814,0.5886769451779248
31,Georgia Tech,acc,9,4,61.918695584661485,0.6033313802628275,0.6277245734686543
32,East Carolina,american athletic,9,4,61.80315286574958,0.6984180128902653,0.5747464986860046
33,Houston,big 12,10,3,61.79535447859805,0.5872604001004437,0.6344806226935773
34,Iowa State,big 12,8,4,61.527236059927844,0.6050054406964092,0.6208007020854388
35,Penn State,big ten,7,6,61.46401272815496,0.6609190591780363,0.5897207024142105
36,Duke,acc,9,5,60.94033205252991,0.5683196020519199,0.6315253227801956
