name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,20.0,24.0,0.0,4.522388059701493
mid-american,False,19.0,27.0,0.25,4.522388059701493
sec,True,39.0,8.0,0.6666666666666666,4.522388059701493
sun belt,False,28.0,25.0,0.6666666666666666,4.522388059701493
big 12,True,33.0,10.0,0.3333333333333333,4.522388059701493
american athletic,False,25.0,22.0,0.5,4.522388059701493
acc,True,40.0,13.0,0.3333333333333333,4.522388059701493
conference usa,False,12.0,23.0,0.5,4.522388059701493
big ten,True,42.0,10.0,0.6666666666666666,4.522388059701493
fbs independents,False,8.0,7.0,0.6,4.522388059701493
pac-12,False,7.0,2.0,0.8,4.522388059701493
