name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,24.0,0.75,9.06015037593985
mid-american,False,20.0,28.0,0.25,9.06015037593985
sec,True,37.0,8.0,0.5,9.06015037593985
sun belt,False,33.0,17.0,0.6666666666666666,9.06015037593985
pac-12,False,29.0,6.0,1.0,9.06015037593985
fbs independents,False,13.0,23.0,0.1111111111111111,9.06015037593985
big 12,True,30.0,12.0,0.6666666666666666,9.06015037593985
acc,True,36.0,14.0,1.0,9.06015037593985
american athletic,False,24.0,31.0,0.25,9.06015037593985
conference usa,False,15.0,18.0,0.5,9.06015037593985
big ten,True,33.0,9.0,0.6666666666666666,9.06015037593985
