rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Michigan,big ten,8,0,95.73056300268098,1.0,0.9343163538873996
2,Florida State,acc,7,0,92.55656108597286,0.7873303167420814,1.0
3,Oklahoma,big 12,7,0,88.72198689183392,0.8597285067873304,0.9020229100658056
4,Ohio State,big ten,7,0,86.70390719515464,0.8002585649644474,0.9029978064830613
5,Penn State,big ten,6,1,86.4638968506655,0.9140271493212669,0.8380453326834024
6,Texas,big 12,6,1,85.73774238693022,0.6787330316742083,0.9535705581281988
7,Alabama,sec,7,1,83.03196002336517,0.6266968325791855,0.939962628970672
8,Washington,pac-12,7,0,82.87626700692464,0.7563025210084033,0.8677796734097002
9,Georgia,sec,7,0,82.52338262589012,0.8442146089204912,0.8150134048257373
10,Ole Miss,sec,6,1,81.31681597065607,0.6658047834518422,0.8925176699975629
11,Oregon,pac-12,6,1,79.5725978011895,0.9140271493212669,0.7320253473068487
12,Notre Dame,fbs independents,6,2,78.2439485289982,0.7239819004524887,0.8139166463563247
13,Air Force,mountain west,7,0,77.7405332668698,0.7459599224305108,0.7943374766431067
14,Missouri,sec,7,1,77.6305100303681,0.5633484162895928,0.8909740840035747
15,LSU,sec,6,2,77.45157224103762,0.748868778280543,0.7883256154033634
16,James Madison,sun belt,7,0,77.1634236288865,0.6089204912734324,0.8592493297587133
17,Liberty,conference usa,7,0,75.91612325013996,0.6709760827407886,0.8066455439109596
18,Utah,pac-12,6,1,74.68394442649291,0.5235940530058177,0.8670485010967585
19,Oregon State,pac-12,6,1,73.16349751809459,0.6942469295410473,0.7517669997562759
20,Tennessee,sec,5,2,71.94366113306343,0.5908209437621201,0.7886912015598343
21,Kansas State,big 12,5,2,71.78167282961479,0.7097608274078863,0.722154521082135
22,Rutgers,big ten,6,2,70.18967194294432,0.5950226244343894,0.7594443090421643
23,North Carolina,acc,6,1,69.85904255025845,0.6140917905623787,0.7440896904703876
24,Miami,acc,5,2,69.77230544254672,0.6813186813186812,0.7065561784060443
25,Tulane,american athletic,6,1,69.21446949202824,0.5753070458952811,0.7550572751645138
26,Louisville,acc,6,1,68.90396388030831,0.6166774402068522,0.728003899585669
27,Iowa,big ten,6,2,68.07622002662217,0.46153846153846134,0.7988057518888618
28,UNLV,mountain west,6,1,67.37263209901596,0.54169360051713,0.7448208627833294
29,SMU,american athletic,5,2,67.17176189735723,0.7666451195862961,0.6206028109513364
30,Kentucky,sec,5,2,65.93813377916831,0.5106658047834519,0.7394589324884231
31,Duke,acc,5,2,65.93654571260628,0.6554621848739496,0.6614672191079698
32,Toledo,mid-american,7,1,65.91184245497445,0.6380090497737556,0.6704850109675846
33,Fresno State,mountain west,6,1,65.65515189746384,0.6218487394957984,0.6752376310017061
34,Wisconsin,big ten,5,2,65.61772756497562,0.5261797026502909,0.7261759688033146
35,UCLA,pac-12,5,2,64.99493252371347,0.6683904330963155,0.6400194979283451
36,Oklahoma State,big 12,5,2,64.9194910908363,0.42792501616031026,0.7683402388496222
37,Troy,sun belt,5,2,64.90245797413438,0.5365223012281837,0.7096027297099684
38,Kansas,big 12,5,2,64.43987017555855,0.5158371040723982,0.713624177431148
39,USC,pac-12,6,2,63.62263899166597,0.6402714932126699,0.6340482573726542
