name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,20.0,28.0,0.5,10.969465648854962
mid-american,False,18.0,30.0,0.25,10.969465648854962
sec,True,46.0,6.0,0.75,10.969465648854962
sun belt,False,31.0,23.0,0.25,10.969465648854962
pac-12,False,25.0,9.0,1.0,10.969465648854962
fbs independents,False,30.0,32.0,0.4444444444444444,10.969465648854962
big 12,True,25.0,5.0,0.6666666666666666,10.969465648854962
acc,True,36.0,15.0,1.0,10.969465648854962
conference usa,False,19.0,26.0,0.4,10.969465648854962
american athletic,False,24.0,19.0,0.75,10.969465648854962
big ten,True,32.0,10.0,0.6666666666666666,10.969465648854962
