name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,19.0,12.0,0.6666666666666666,2.8970588235294117
mid-american,False,10.0,25.0,0.0,2.8970588235294117
sec,True,35.0,3.0,1.0,2.8970588235294117
sun belt,False,17.0,21.0,0.5,2.8970588235294117
big 12,True,32.0,8.0,0.6666666666666666,2.8970588235294117
american athletic,False,25.0,12.0,0.3333333333333333,2.8970588235294117
acc,True,28.0,13.0,1.0,2.8970588235294117
conference usa,False,13.0,17.0,0.5,2.8970588235294117
big ten,True,41.0,8.0,0.6666666666666666,2.8970588235294117
fbs independents,False,1.0,4.0,0.3333333333333333,2.8970588235294117
pac-12,False,2.0,4.0,0.6666666666666666,2.8970588235294117
