,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Michigan,8,0,big ten,2,5,0,0.9090909090909091,1.0,0.9090909090909091,34.75,35.0,2.4069264069264067,63.08393704721459,98.08393704721459
2,Florida State,8,0,acc,4,6,0,0.7272727272727273,1.0,0.7272727272727273,23.25,27.71493212669683,2.662337662337663,65.0,92.71493212669684
3,Ohio State,8,0,big ten,2,5,0,0.9090909090909091,0.9285714285714286,0.8441558441558441,22.5,27.239819004524886,2.3885281385281387,62.9459155633275,90.18573456785239
4,Texas,7,1,big 12,3,4,1,0.8181818181818181,0.8571428571428572,0.7012987012987013,18.5,24.705882352941178,2.4145021645021645,63.140769422932806,87.84665177587398
5,Penn State,7,1,big ten,2,4,1,0.9090909090909091,0.8571428571428572,0.7792207792207793,27.375,30.328054298642535,1.636363636363636,57.303272545590794,87.63132684423334
6,Georgia,8,0,sec,1,5,0,1.0,1.0,1.0,25.75,29.298642533936654,1.7142857142857142,57.887834124406695,87.18647665834334
7,Ole Miss,7,1,sec,1,4,1,1.0,0.7857142857142857,0.7857142857142857,17.5,24.07239819004525,2.12987012987013,61.00549587809142,85.07789406813666
8,Alabama,7,1,sec,1,5,0,1.0,0.9285714285714286,0.9285714285714286,14.125,21.93438914027149,2.387445887445887,62.93779665251061,84.8721857927821
9,Washington,8,0,pac-12,5,5,0,0.6363636363636364,1.0,0.6363636363636364,19.75,25.497737556561084,1.8019480519480517,58.54546590057456,84.04320345713565
10,Oklahoma,7,1,big 12,3,4,1,0.8181818181818181,1.0,0.8181818181818181,23.0,27.55656108597285,1.4740259740259738,56.0854359230577,83.64199700903055
11,Oregon,7,1,pac-12,5,4,1,0.6363636363636364,0.8333333333333334,0.5303030303030303,29.875,31.91176470588235,0.8203463203463205,51.18161378965776,83.09337849554012
12,Notre Dame,7,2,fbs independents,11,0,0,0.09090909090909094,0.75,0.0681818181818182,23.0,27.55656108597285,1.3365800865800863,55.054334249313015,82.61089533528587
13,James Madison,8,0,sun belt,6,5,0,0.5454545454545454,1.0,0.5454545454545454,11.875,20.509049773755656,2.098484848484848,60.77004746440169,81.27909723815733
14,Air Force,8,0,mountain west,7,5,0,0.4545454545454546,1.0,0.4545454545454546,20.25,25.81447963800905,1.1432178932178934,53.603755516695806,79.41823515470486
15,LSU,6,2,sec,1,4,1,1.0,0.8571428571428572,0.8571428571428572,20.875,26.210407239819006,1.0357142857142856,52.79727704221833,79.00768428203735
16,Kansas State,6,2,big 12,3,4,1,0.8181818181818181,0.9285714285714286,0.7597402597402597,21.5,26.606334841628957,0.9155844155844154,51.89607794154384,78.50241278317279
17,Liberty,8,0,conference usa,8,6,0,0.36363636363636365,1.0,0.36363636363636365,16.125,23.201357466063346,1.3333333333333333,55.02997751686235,78.23133498292569
18,Missouri,7,1,sec,1,3,1,1.0,0.7142857142857143,0.7142857142857143,10.625,19.717194570135746,1.6666666666666665,57.53060204846364,77.2477966185994
19,Louisville,7,1,acc,4,4,1,0.7272727272727273,0.9285714285714286,0.6753246753246753,14.75,22.330316742081447,0.9512987012987012,52.16400199850112,74.49431874058257
20,Tennessee,6,2,sec,1,3,2,1.0,0.5714285714285714,0.5714285714285714,11.375,20.19230769230769,1.103896103896104,53.30876842368223,73.50107611598993
21,SMU,6,2,american athletic,9,4,0,0.2727272727272727,1.0,0.2727272727272727,26.5,29.773755656108598,-0.37590187590187596,42.20751103339162,71.98126668950022
22,Rutgers,6,2,big ten,2,3,2,0.9090909090909091,0.7857142857142857,0.7142857142857143,12.37500000000001,20.825791855203626,0.7207792207792206,50.43467399450412,71.26046584970774
23,Kansas,6,2,big 12,3,3,2,0.8181818181818181,0.6428571428571428,0.5259740259740259,7.624999999999989,17.81674208144796,1.0584415584415583,52.96777416937296,70.78451625082091
24,Miami,6,2,acc,4,2,2,0.7272727272727273,0.6428571428571428,0.4675324675324675,15.375,22.726244343891402,0.3354978354978354,47.54434174369223,70.27058608758364
