name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,16.0,1.0,3.9384615384615387
mid-american,False,19.0,27.0,0.75,3.9384615384615387
sec,True,32.0,7.0,0.3333333333333333,3.9384615384615387
sun belt,False,19.0,15.0,0.5,3.9384615384615387
pac-12,False,16.0,16.0,0.5,3.9384615384615387
fbs independents,False,15.0,13.0,0.0,3.9384615384615387
big 12,True,23.0,6.0,0.6666666666666666,3.9384615384615387
acc,True,28.0,12.0,1.0,3.9384615384615387
conference usa,False,22.0,27.0,0.3333333333333333,3.9384615384615387
american athletic,False,21.0,18.0,0.6666666666666666,3.9384615384615387
big ten,True,28.0,8.0,0.5,3.9384615384615387
