week,season_type,start_date,home_team,away_team,home_points,away_points,completed,neutral_site,conference_game,home_conference,away_conference,home_classification,away_classification,notes
1,regular,2020-08-30 01:00:00+00:00,Central Arkansas,Austin Peay,24,17,True,True,False,Southland,OVC,fcs,fcs,
1,regular,2020-09-04 00:00:00+00:00,UAB,Central Arkansas,45,35,True,False,False,Conference USA,Southland,fbs,fcs,
1,regular,2020-09-04 01:00:00+00:00,Southern Miss,South Alabama,21,32,True,False,False,Conference USA,Sun Belt,fbs,fbs,
1,regular,2020-09-05 17:00:00+00:00,Marshall,Eastern Kentucky,59,0,True,False,False,Conference USA,OVC,fbs,fcs,
1,regular,2020-09-05 17:30:00+00:00,Army,Middle Tennessee,42,0,True,False,False,FBS Independents,Conference USA,fbs,fbs,
1,regular,2020-09-05 20:30:00+00:00,Texas State,SMU,24,31,True,False,False,Sun Belt,American Athletic,fbs,fbs,
1,regular,2020-09-05 23:30:00+00:00,North Texas,Houston Christian,57,31,True,False,False,Conference USA,Southland,fbs,fcs,
1,regular,2020-09-06 00:00:00+00:00,Memphis,Arkansas State,37,24,True,False,False,American Athletic,Sun Belt,fbs,fbs,
1,regular,2020-09-06 01:00:00+00:00,UTEP,Stephen F. Austin,24,14,True,False,False,Conference USA,Southland,fbs,fcs,
1,regular,2020-09-08 00:00:00+00:00,Navy,BYU,3,55,True,False,False,American Athletic,FBS Independents,fbs,fbs,
2,regular,2020-09-11 00:00:00+00:00,Miami,UAB,31,14,True,False,False,ACC,Conference USA,fbs,fbs,
2,regular,2020-09-12 16:00:00+00:00,North Carolina,Syracuse,31,6,True,False,True,ACC,ACC,fbs,fbs,
2,regular,2020-09-12 16:00:00+00:00,Kansas State,Arkansas State,31,35,True,False,False,Big 12,Sun Belt,fbs,fbs,
2,regular,2020-09-12 16:00:00+00:00,Iowa State,Louisiana,14,31,True,False,False,Big 12,Sun Belt,fbs,fbs,
2,regular,2020-09-12 16:00:00+00:00,App State,Charlotte,35,20,True,False,False,Sun Belt,Conference USA,fbs,fbs,
2,regular,2020-09-12 16:00:00+00:00,West Virginia,Eastern Kentucky,56,10,True,False,False,Big 12,OVC,fbs,fcs,
2,regular,2020-09-12 17:30:00+00:00,Army,UL Monroe,37,7,True,False,False,FBS Independents,Sun Belt,fbs,fbs,
2,regular,2020-09-12 18:30:00+00:00,Notre Dame,Duke,27,13,True,False,True,ACC,ACC,fbs,fbs,
2,regular,2020-09-12 19:30:00+00:00,Texas State,UTSA,48,51,True,False,False,Sun Belt,Conference USA,fbs,fbs,
2,regular,2020-09-12 20:00:00+00:00,Florida State,Georgia Tech,13,16,True,False,True,ACC,ACC,fbs,fbs,
2,regular,2020-09-12 20:00:00+00:00,Pittsburgh,Austin Peay,55,0,True,False,False,ACC,OVC,fbs,fcs,
2,regular,2020-09-12 20:14:00+00:00,Georgia Southern,Campbell,27,26,True,False,False,Sun Belt,Big South,fbs,fcs,
2,regular,2020-09-12 23:00:00+00:00,Oklahoma,Missouri State,48,0,True,False,False,Big 12,MVFC,fbs,fcs,
2,regular,2020-09-12 23:00:00+00:00,South Florida,The Citadel,27,6,True,False,False,American Athletic,Southern,fbs,fcs,
2,regular,2020-09-12 23:30:00+00:00,Wake Forest,Clemson,13,37,True,False,True,ACC,ACC,fbs,fbs,
2,regular,2020-09-12 23:30:00+00:00,South Alabama,Tulane,24,27,True,False,False,Sun Belt,American Athletic,fbs,fbs,
2,regular,2020-09-13 00:00:00+00:00,Texas,UTEP,59,3,True,False,False,Big 12,Conference USA,fbs,fbs,
2,regular,2020-09-13 00:00:00+00:00,Louisville,Western Kentucky,35,21,True,False,False,ACC,Conference USA,fbs,fbs,
2,regular,2020-09-13 00:00:00+00:00,Texas Tech,Houston Christian,35,33,True,False,False,Big 12,Southland,fbs,fcs,
2,regular,2020-09-13 02:00:00+00:00,Kansas,Coastal Carolina,23,38,True,False,False,Big 12,Sun Belt,fbs,fbs,
3,regular,2020-09-18 23:30:00+00:00,Coastal Carolina,Campbell,43,21,True,False,False,Sun Belt,Big South,fbs,fcs,
3,regular,2020-09-19 16:00:00+00:00,Duke,Boston College,6,26,True,False,True,ACC,ACC,fbs,fbs,
3,regular,2020-09-19 16:00:00+00:00,Tulane,Navy,24,27,True,False,True,American Athletic,American Athletic,fbs,fbs,
3,regular,2020-09-19 16:00:00+00:00,Georgia State,Louisiana,31,34,True,False,True,Sun Belt,Sun Belt,fbs,fbs,
3,regular,2020-09-19 16:00:00+00:00,Western Kentucky,Liberty,24,30,True,False,False,Conference USA,FBS Independents,fbs,fbs,
3,regular,2020-09-19 16:00:00+00:00,Pittsburgh,Syracuse,21,10,True,False,True,ACC,ACC,fbs,fbs,
3,regular,2020-09-19 16:00:00+00:00,Cincinnati,Austin Peay,55,20,True,False,False,American Athletic,OVC,fbs,fcs,
3,regular,2020-09-19 16:00:00+00:00,Oklahoma State,Tulsa,16,7,True,False,False,Big 12,American Athletic,fbs,fbs,
3,regular,2020-09-19 18:30:00+00:00,Notre Dame,South Florida,52,0,True,False,False,ACC,American Athletic,fbs,fbs,
3,regular,2020-09-19 19:30:00+00:00,Middle Tennessee,Troy,14,47,True,False,False,Conference USA,Sun Belt,fbs,fbs,
3,regular,2020-09-19 19:30:00+00:00,Marshall,App State,17,7,True,False,False,Conference USA,Sun Belt,fbs,fbs,
