name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,16.0,18.0,0.6666666666666666,3.0381679389312977
mid-american,False,12.0,22.0,0.0,3.0381679389312977
sec,True,30.0,5.0,0.75,3.0381679389312977
sun belt,False,20.0,19.0,0.3333333333333333,3.0381679389312977
pac-12,False,24.0,9.0,1.0,3.0381679389312977
fbs independents,False,8.0,15.0,0.25,3.0381679389312977
big 12,True,22.0,5.0,0.5,3.0381679389312977
acc,True,28.0,6.0,1.0,3.0381679389312977
conference usa,False,15.0,17.0,0.6666666666666666,3.0381679389312977
american athletic,False,17.0,13.0,0.6666666666666666,3.0381679389312977
big ten,True,29.0,8.0,0.6666666666666666,3.0381679389312977
