,Team Name,W,L,Conf.,Conf. Rank,Conf. W,Conf. L,C,c,Cc,N_raw,N_adj,SOR_raw,SOR_adj,SPI
1,Indiana,13,0,big ten,2,10,0,0.9090909090909091,0.9444444444444444,0.8585858585858586,31.076923076923077,34.726384364820845,4.652597402597403,64.85072298558957,99.57710735041042
2,Texas Tech,12,1,big 12,3,9,1,0.8181818181818181,0.9375,0.7670454545454545,31.53846153846154,35.0,3.6805069930069925,60.46515352892945,95.46515352892945
3,Ohio State,12,1,big ten,2,9,1,0.9090909090909091,0.8888888888888888,0.808080808080808,26.76923076923077,32.17263843648208,4.172785547785548,62.68605991037938,94.85869834686146
4,Georgia,12,1,sec,1,8,1,1.0,1.0,1.0,16.0,25.788273615635177,4.68568563789152,65.0,90.78827361563518
5,Oregon,11,1,big ten,2,8,1,0.9090909090909091,1.0,0.9090909090909091,23.333333333333332,30.1357220412595,3.692550505050505,60.519487630004676,90.65520967126417
6,Notre Dame,10,2,fbs independents,5,0,0,0.6363636363636364,1.0,0.6363636363636364,24.416666666666668,30.777958740499457,2.592792419998303,55.557947612803844,86.3359063533033
7,Utah,10,2,big 12,3,7,2,0.8181818181818181,0.8125,0.6647727272727272,22.416666666666668,29.59229098805646,2.392045454545454,54.65228107034905,84.24457205840551
8,Ole Miss,11,1,sec,1,7,1,1.0,0.9375,0.9375,17.166666666666668,26.479913137893593,2.810876623376623,56.541830811197926,83.02174394909152
9,BYU,11,2,big 12,3,8,2,0.8181818181818181,0.875,0.7159090909090908,12.923076923076923,23.96416938110749,3.260742933537051,58.57139506772757,82.53556444883505
10,Oklahoma,10,2,sec,1,6,2,1.0,0.6875,0.6875,12.5,23.713355048859935,3.274753024753025,58.634601357508465,82.3479564063684
11,Texas A&M,11,1,sec,1,7,1,1.0,0.875,0.875,14.416666666666666,24.849619978284473,2.7613636363636362,56.31845380695029,81.16807378523477
12,Alabama,10,3,sec,1,7,2,1.0,0.8125,0.8125,13.846153846153847,24.5114006514658,2.780371997283762,56.404209706041605,80.9156103575074
13,Miami,10,2,acc,4,6,2,0.7272727272727273,0.8235294117647058,0.5989304812834224,20.25,28.307817589576548,1.9250381970970205,52.54538571977417,80.85320330935072
14,Vanderbilt,10,2,sec,1,6,2,1.0,0.75,0.75,17.5,26.677524429967427,2.006588999236058,52.91330078559381,79.59082521556124
15,James Madison,12,1,sun belt,8,9,0,0.36363636363636365,0.9285714285714286,0.33766233766233766,21.46153846153847,29.026058631921828,1.3558059587471358,49.977304095241536,79.00336272716336
16,USC,9,3,big ten,2,7,2,0.9090909090909091,0.8333333333333334,0.7575757575757576,14.083333333333334,24.652008686210642,2.092712842712843,53.301847050134285,77.95385573634492
17,North Texas,11,2,american athletic,6,7,2,0.5454545454545454,0.7857142857142857,0.42857142857142855,19.846153846153847,28.068403908794785,1.1038961038961035,48.84081704180803,76.90922095060282
18,Texas,9,3,sec,1,6,2,1.0,0.625,0.625,9.83333333333334,22.132464712269275,2.202020202020202,53.79498535459354,75.92745006686282
19,Tulane,11,2,american athletic,6,8,1,0.5454545454545454,0.9285714285714286,0.5064935064935064,6.461538461538462,20.133550488599347,2.584473941091588,55.52041893578035,75.6539694243797
20,Arizona,9,3,big 12,3,7,3,0.8181818181818181,0.75,0.6136363636363635,13.666666666666666,24.404994571118348,1.4071969696969693,50.20915377274576,74.6141483438641
21,South Florida,9,3,american athletic,6,6,2,0.5454545454545454,0.7142857142857143,0.3896103896103896,19.666666666666668,27.96199782844734,0.4154889228418639,45.73507967706122,73.69707750550856
22,Michigan,9,3,big ten,2,7,2,0.9090909090909091,0.7777777777777778,0.7070707070707071,8.916666666666666,21.58903365906623,1.72751554001554,51.65426559005302,73.24329924911925
23,Iowa,8,4,big ten,2,6,3,0.9090909090909091,0.7222222222222222,0.6565656565656566,13.75,24.45439739413681,0.919289044289044,48.00796541184732,72.46236280598413
24,Virginia,10,3,acc,4,7,3,0.7272727272727273,0.8823529411764706,0.6417112299465241,11.615384615384615,23.188925081433222,0.8663101604278078,47.7689520725349,70.95787715396811
25,Georgia Tech,9,3,acc,4,6,2,0.7272727272727273,0.6470588235294117,0.4705882352941176,8.083333333333334,21.09500542888165,1.2879106187929719,49.670995416321446,70.7660008452031
26,Tennessee,8,4,sec,1,4,4,1.0,0.5,0.5,12.0,23.416938110749182,0.4770339954163485,46.01273923200357,69.42967734275275
27,Missouri,8,4,sec,1,4,4,1.0,0.5625,0.5625,12.75,23.86156351791531,0.30457042957042946,45.23467276894768,69.09623628686299
28,Navy,10,2,american athletic,6,8,1,0.5454545454545454,0.8571428571428572,0.4675324675324675,5.166666666666667,19.365906623235613,1.2803030303030303,49.63667390940071,69.00258053263633
29,Washington,8,4,big ten,2,5,4,0.9090909090909091,0.6666666666666667,0.6060606060606061,14.333333333333334,24.800217155266015,0.06818181818181834,44.168209543119744,68.96842669838577
30,Illinois,8,4,big ten,2,5,4,0.9090909090909091,0.6111111111111112,0.5555555555555556,6.083333333333333,19.909337676438653,0.9572192513368982,48.17908690000598,68.08842457644462
31,Iowa State,8,4,big 12,3,5,4,0.8181818181818181,0.625,0.5113636363636364,7.25,20.600977198697066,0.6995851370851367,47.01677494701357,67.61775214571064
32,Louisville,8,4,acc,4,4,4,0.7272727272727273,0.5294117647058824,0.3850267379679145,9.083333333333323,21.687839305103143,0.24292251865781278,44.9565492605806,66.64438856568373
33,TCU,8,4,big 12,3,5,4,0.8181818181818181,0.5,0.40909090909090906,5.583333333333333,19.612920738327908,0.6647727272727271,46.859719348398656,66.47264008672656
34,Houston,9,3,big 12,3,6,3,0.8181818181818181,0.6875,0.5625,6.5,20.156351791530945,0.5373376623376624,46.284798206318676,66.44114999784962
35,Old Dominion,9,3,sun belt,8,6,2,0.36363636363636365,0.8571428571428572,0.31168831168831174,13.416666666666666,24.25678610206297,-0.41891605126899245,41.970675735983654,66.22746183804662
36,LSU,7,5,sec,1,3,5,1.0,0.4375,0.4375,3.5,18.377850162866448,0.7840909090909092,47.398021309454435,65.77587147232087
37,East Carolina,8,4,american athletic,6,6,2,0.5454545454545454,0.6428571428571428,0.3506493506493506,13.166666666666671,24.108577633007602,-0.4926470588235299,41.63803954129451,65.74661717430212
38,SMU,8,4,acc,4,6,2,0.7272727272727273,0.7647058823529411,0.5561497326203209,12.25,23.565146579804562,-0.43816844919786124,41.88381886805107,65.44896544785563
39,Duke,8,5,acc,4,7,2,0.7272727272727273,0.9411764705882353,0.6844919786096256,5.3076923076923075,19.449511400651463,0.14493676258382138,44.514488177798285,63.96399957844975
40,San Diego State,9,3,mountain west,7,6,2,0.4545454545454546,0.9166666666666666,0.4166666666666667,12.083333333333334,23.466340933767647,-0.8013506101741394,40.24532868579273,63.711669619560375
41,Pittsburgh,8,4,acc,4,6,2,0.7272727272727273,0.7058823529411764,0.5133689839572192,10.166666666666666,22.330076004343105,-0.6030697243932543,41.13986955147883,63.46994555582193
42,New Mexico,9,3,mountain west,7,6,2,0.4545454545454546,0.8333333333333334,0.37878787878787884,5.416666666666667,19.514115092290986,-0.04292929292929282,43.666933642877325,63.18104873516831
