name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,25.0,24.0,0.75,10.030075187969924
mid-american,False,20.0,28.0,0.25,10.030075187969924
sec,True,37.0,8.0,0.5,10.030075187969924
sun belt,False,34.0,18.0,0.6666666666666666,10.030075187969924
pac-12,False,29.0,6.0,1.0,10.030075187969924
fbs independents,False,14.0,24.0,0.1,10.030075187969924
big 12,True,30.0,12.0,0.6666666666666666,10.030075187969924
acc,True,36.0,14.0,1.0,10.030075187969924
american athletic,False,24.0,31.0,0.25,10.030075187969924
conference usa,False,16.0,18.0,0.5,10.030075187969924
big ten,True,33.0,9.0,0.6666666666666666,10.030075187969924
