name,p5,cvc_wins,cvc_losses,cvc_perc,mean_games_played
mountain west,False,22.0,22.0,0.75,4.037593984962406
mid-american,False,18.0,27.0,0.3333333333333333,4.037593984962406
sec,True,33.0,8.0,0.5,4.037593984962406
sun belt,False,31.0,15.0,0.6666666666666666,4.037593984962406
pac-12,False,29.0,5.0,1.0,4.037593984962406
fbs independents,False,7.0,11.0,0.0,4.037593984962406
big 12,True,30.0,12.0,0.6666666666666666,4.037593984962406
acc,True,29.0,11.0,1.0,4.037593984962406
american athletic,False,21.0,29.0,0.25,4.037593984962406
conference usa,False,14.0,17.0,0.5,4.037593984962406
big ten,True,29.0,9.0,0.6666666666666666,4.037593984962406
