name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
big ten,True,54.0,14.0,0.7941176470588235,
sec,True,58.0,16.0,0.7837837837837838,
big 12,True,41.0,13.0,0.7592592592592593,
acc,True,50.0,30.0,0.625,
fbs independents,False,19.0,6.0,0.76,
american athletic,False,39.0,24.0,0.6190476190476191,
mountain west,False,28.0,27.0,0.509090909090909,
sun belt,False,30.0,34.0,0.46875,
conference usa,False,23.0,32.0,0.41818181818181815,
pac-12,False,7.0,14.0,0.3333333333333333,
mid-american,False,18.0,39.0,0.3157894736842105,
