rank,team,conference,wins,losses,SPI,N_adj,SOR_adj
1,Georgia,sec,10,0,100.0,1.0,1.0
2,Alabama,sec,9,1,89.62894949495256,0.9215358931552587,0.8826952805310538
3,Cincinnati,american athletic,10,0,84.69984970721399,0.8647746243739565,0.8374267362173154
4,Oklahoma State,big 12,9,1,84.11201515202349,0.7445742904841401,0.8931063843858242
5,Notre Dame,fbs independents,9,1,83.9088725932277,0.67779632721202,0.9259384790893384
6,Michigan,big ten,9,1,83.68824901858953,0.7913188647746244,0.8614167500227334
7,Ohio State,big ten,9,1,83.61442019404208,0.9165275459098498,0.792860862879959
8,Wake Forest,acc,9,1,82.25450544032118,0.7412353923205341,0.8663271801400381
9,Oklahoma,big 12,9,1,81.69828606935432,0.7395659432387311,0.8586688931692114
10,Baylor,big 12,8,2,81.25272653658921,0.7395659432387311,0.8518141311266709
11,Pittsburgh,acc,8,2,80.85987557996923,0.8280467445742904,0.7981267618441393
12,UTSA,conference usa,10,0,78.80461866053703,0.8080133555926544,0.7772946340737557
13,Ole Miss,sec,8,2,78.30490560119509,0.6594323873121869,0.8496118776195161
14,Houston,american athletic,9,1,76.69335831915306,0.7829716193656093,0.7582977175593344
15,Michigan State,big ten,9,1,76.16650951853161,0.6828046744574289,0.8041283986541784
16,Iowa,big ten,8,2,74.13933698414942,0.6210350584307178,0.8062016913703738
17,Texas A&M,sec,7,3,73.8831253568472,0.6727879799666109,0.7743930162771665
18,Louisiana,sun belt,9,1,73.0321490016324,0.681135225375626,0.7568064017459307
19,Coastal Carolina,sun belt,8,2,72.51546931224071,0.8564273789649415,0.6544694007456578
20,Wisconsin,big ten,7,3,72.33384488074832,0.6744574290484139,0.7496589979085205
21,NC State,acc,7,3,72.04776857077691,0.7028380634390651,0.7299759438524557
22,Arkansas,sec,7,3,71.97636067994262,0.6143572621035057,0.7765208693279986
23,Kansas State,big 12,7,3,70.76838348537308,0.6110183639398998,0.7597344730381013
24,Iowa State,big 12,6,4,69.89474789223894,0.681135225375626,0.7085386923706466
25,Oregon,pac-12,9,1,69.64294633093894,0.692821368948247,0.6983722833500046
26,App State,sun belt,8,2,69.62029099866402,0.7145242070116861,0.6863375962039233
27,Clemson,acc,7,3,69.5549901832386,0.6327212020033387,0.7293807402018732
28,SMU,american athletic,8,2,68.16529258597038,0.7429048414023371,0.648671125182901
29,San Diego State,mountain west,9,1,67.73617042013127,0.6577629382303839,0.6879148858779668
30,Auburn,sec,6,4,67.70932776779462,0.6393989983305508,0.6973901973265436
31,Army,fbs independents,6,3,67.47963467954456,0.681135225375626,0.6713831044830408
32,BYU,fbs independents,8,2,67.19579148733192,0.6310517529215358,0.6939843097704332
33,Penn State,big ten,6,4,65.56661833558188,0.6293823038397329,0.6698190415567882
34,Liberty,fbs independents,7,3,65.37285597544208,0.7545909849749582,0.5994180230972084
35,Mississippi State,sec,6,4,65.3438835048116,0.5358931552587646,0.7167326626269974
36,Kentucky,sec,7,3,64.54442454559242,0.5876460767946577,0.6765663362735291
37,Tennessee,sec,5,5,64.09858706343192,0.5909849749582637,0.667909429844503
38,Purdue,big ten,6,4,61.978025422929875,0.5292153589315524,0.6685459670819314
39,Louisville,acc,5,5,61.1142936746239,0.5642737896494155,0.6363801697983748
40,Utah State,mountain west,8,2,60.86137469879097,0.6010016694490817,0.6127125579703555
