name,p5,cvc_wins,cvc_losses,cvc_perc,conf_index
sec,True,48.93478260869565,10.711956521739129,0.8204100227790433,
big ten,True,48.711956521739125,12.489130434782608,0.7959328656424829,
big 12,True,38.35597826086956,11.11141304347826,0.7753790375741596,
acc,True,40.17934782608695,22.067934782608695,0.6454795477364997,
fbs independents,False,13.71195652173913,4.111413043478261,0.7693245921634396,
american athletic,False,31.445652173913043,21.733695652173914,0.5913132345426674,
mountain west,False,21.956521739130434,22.467391304347824,0.49425006116956205,
sun belt,False,26.97826086956522,28.71195652173913,0.4844344686249635,
conference usa,False,19.22282608695652,26.71195652173913,0.41848083293894933,
pac-12,False,8.133152173913043,14.0,0.3674647022713321,
mid-american,False,17.244565217391305,32.95652173913044,0.3435097975533182,
