team,conference,SOR_raw,SOR_adj,wins,losses
Air Force,mountain west,-0.5454545454545454,-0.4573502722323049,1,1
Akron,mid-american,-1.4248366013071896,-1.1946905804063914,1,2
Alabama,sec,0.9716864018334607,0.8147352407387638,3,0
App State,sun belt,0.2727272727272727,0.22867513611615245,3,0
Arizona,big 12,-0.09659090909090912,-0.08098911070780403,2,1
Arizona State,big 12,-0.6988636363636364,-0.5859800362976407,2,1
Arkansas,sec,-0.3352272727272728,-0.2810798548094375,1,2
Arkansas State,sun belt,-1.1112012987012987,-0.9317150635208712,1,2
Army,american athletic,-0.4545454545454546,-0.3811252268602542,1,1
Auburn,sec,0.3222402597402597,0.27019056261343016,2,1
Ball State,mid-american,-1.0515151515151515,-0.8816696914700546,1,2
Baylor,big 12,-0.5892857142857143,-0.49410163339382945,2,1
Boise State,pac-12,-0.015873015873015872,-0.013309134906231096,2,1
Boston College,acc,-0.43813131313131315,-0.3673623714458561,2,1
Bowling Green,mid-american,-1.9343434343434343,-1.621899576527526,0,3
Buffalo,mid-american,-1.2111111111111112,-1.0154869933454327,1,2
BYU,big 12,0.26136363636363635,0.2191470054446461,3,0
California,acc,-0.10635769459298881,-0.08917832105619027,2,1
Central Michigan,mid-american,-0.40909090909090895,-0.3430127041742286,2,1
Charlotte,american athletic,-1.9123376623376624,-1.6034482758620692,0,3
Cincinnati,big 12,0.3624023035787742,0.3038654523655058,3,0
Clemson,acc,-0.4167780748663102,-0.34945820433436536,2,1
Coastal Carolina,sun belt,-1.4238636363636363,-1.193874773139746,1,2
Colorado,big 12,-0.2032085561497326,-0.17038539553752535,2,1
Colorado State,pac-12,-0.005681818181818232,-0.004764065335753219,2,1
Delaware,conference usa,-0.39123376623376627,-0.32803992740471877,2,1
Duke,acc,0.6300823359646889,0.528308601117398,3,0
East Carolina,american athletic,-0.7459415584415584,-0.625453720508167,1,2
Eastern Michigan,mid-american,-2.316239316239316,-1.9421099167015683,1,3
Florida,sec,0.6314935064935064,0.529491833030853,3,0
Florida Atlantic,american athletic,0.058279220779220764,0.04886569872958257,2,1
Florida International,conference usa,-0.9130869130869131,-0.7656010051654336,1,2
Florida State,acc,-0.6506016042780748,-0.5455135048574784,1,2
Fresno State,pac-12,0.1383061383061383,0.11596630834380382,2,1
Georgia,sec,0.08977272727272727,0.07527223230490018,3,0
Georgia Southern,sun belt,-1.393048128342246,-1.16803672467172,1,2
Georgia State,sun belt,-0.1647727272727273,-0.13815789473684215,2,1
Georgia Tech,acc,-1.1704545454545454,-0.9813974591651543,1,2
Hawai'i,mountain west,-1.43903743315508,-1.2065976299775807,1,2
Houston,big 12,-0.06818181818181827,-0.057168784029038196,2,1
Illinois,big ten,0.0,0.0,2,1
Indiana,big ten,0.3389610389610389,0.28421052631578947,3,0
Iowa,big ten,0.5454545454545454,0.4573502722323049,3,0
Iowa State,big 12,-0.3799533799533799,-0.31858159988831497,2,1
Jacksonville State,conference usa,-1.3216783216783214,-1.1081948904090464,2,2
James Madison,sun belt,0.28181818181818175,0.2362976406533575,3,0
Kansas,big 12,-0.7840909090909092,-0.6574410163339385,1,2
Kansas State,big 12,0.3019480519480519,0.2531760435571688,3,0
Kennesaw State,conference usa,-1.0633116883116882,-0.8915607985480944,1,2
Kent State,mid-american,-0.9299242424242424,-0.7797186932849366,1,2
Kentucky,sec,0.0625,0.05240471869328494,2,1
Liberty,conference usa,-0.6083916083916083,-0.5101214574898786,2,1
Louisiana,sun belt,0.13131313131313127,0.1101028433151845,2,1
Louisiana Tech,sun belt,-1.5056818181818183,-1.262477313974592,1,2
Louisville,acc,0.1778074866310161,0.14908722109533473,2,1
LSU,sec,0.5063025210084033,0.4245222589943419,2,1
Marshall,sun belt,-0.07474747474747478,-0.06267392619479738,2,1
Maryland,big ten,-0.2967914438502674,-0.2488523540087542,2,1
Massachusetts,mid-american,0.050505050505050525,0.04234724742891714,3,0
Memphis,american athletic,-0.27922077922077926,-0.23411978221415614,3,1
Miami,acc,0.21390374331550807,0.1793530479342373,3,0
Miami (OH),mid-american,-0.8897058823529412,-0.745996583751468,1,2
Michigan,big ten,0.6892482517482519,0.5779177718832893,3,0
Michigan State,big ten,-0.19580419580419578,-0.16417702080134022,2,1
Middle Tennessee,conference usa,-0.6298701298701299,-0.5281306715063522,2,1
Minnesota,big ten,-0.07604895104895104,-0.06376518218623482,2,1
Mississippi State,sec,0.74251443001443,0.6225801572897762,3,0
Missouri,sec,0.2069805194805195,0.17354809437386573,3,0
Missouri State,conference usa,-1.698051948051948,-1.4237749546279492,1,2
Navy,american athletic,-0.49350649350649356,-0.41379310344827597,1,1
NC State,acc,-0.9832887700534759,-0.8244635422226968,1,2
Nebraska,big ten,0.055944055944055965,0.04690772022895437,3,0
Nevada,mountain west,-1.809090909090909,-1.5168784029038114,1,2
New Mexico,mountain west,-0.5065559440559441,-0.4247347480106101,2,1
New Mexico State,conference usa,-1.8262032085561497,-1.5312266467385505,1,2
North Carolina,acc,-0.06918449197860976,-0.058009501441229974,2,1
North Dakota State,mountain west,0.23426573426573422,0.19642607845874632,4,0
Northern Illinois,mountain west,-2.291666666666667,-1.9215063520871147,0,3
North Texas,american athletic,-0.6363636363636362,-0.5335753176043557,1,2
Northwestern,big ten,0.20454545454545453,0.17150635208711434,2,0
Notre Dame,fbs independents,0.5988455988455987,0.5021173623714458,3,0
Ohio,mid-american,-0.9473304473304472,-0.794313369630974,1,2
Ohio State,big ten,-0.38854895104895104,-0.3257887756526595,2,1
Oklahoma,sec,-0.2525252525252525,-0.2117362371445856,2,1
Oklahoma State,big 12,0.023088023088023046,0.01935874168179065,2,1
Old Dominion,sun belt,-1.45912910618793,-1.2234440055514042,1,2
Ole Miss,sec,0.8605328495034378,0.7215357104729371,3,0
Oregon,big ten,-0.5625000000000001,-0.47164246823956457,2,1
Oregon State,pac-12,-1.028409090909091,-0.8622958257713251,1,2
Penn State,big ten,0.4375624375624375,0.3668853832193215,3,0
Pittsburgh,acc,0.7109985602632661,0.596154872670833,3,0
Purdue,big ten,-1.0207961972667856,-0.8559126009750545,1,2
Rice,american athletic,-1.2937062937062938,-1.0847410302945695,1,2
Rutgers,big ten,-1.7580328168563462,-1.4740674435347223,0,3
Sacramento State,mid-american,-2.3181818181818183,-1.943738656987296,1,3
Sam Houston,conference usa,-1.3766233766233766,-1.1542649727767698,1,2
San Diego State,pac-12,-0.8282828282828284,-0.6944948578342409,1,2
San José State,mountain west,-0.9141414141414143,-0.7664851784634,2,2
SMU,acc,-0.31550802139037426,-0.2645457457029999,2,1
South Alabama,sun belt,-0.7242757242757243,-0.6072874493927126,2,1
South Carolina,sec,-0.10402097902097901,-0.087219042300712,2,1
Southern Miss,sun belt,-1.5568181818181819,-1.3053539019963705,1,2
South Florida,american athletic,0.15974025974025977,0.13393829401088933,3,0
Stanford,acc,-0.5427807486631017,-0.455108359133127,1,2
Syracuse,acc,-0.8877005347593584,-0.7443151489270846,1,2
TCU,big 12,-0.6562261268143621,-0.5502295291982492,2,1
Temple,american athletic,-1.216006216006216,-1.0195914188654662,1,2
Tennessee,sec,0.6149732620320856,0.5156400128109321,3,0
Texas,sec,1.1926406926406925,1.0,3,0
Texas A&M,sec,0.4579545454545454,0.383983666061706,2,1
Texas State,pac-12,-0.7362012987012989,-0.6172867513611617,1,2
Texas Tech,big 12,0.2670454545454545,0.22391107078039924,3,0
Toledo,mid-american,-0.4978354978354979,-0.41742286751361174,2,1
Troy,sun belt,-0.2545454545454545,-0.2134301270417423,2,1
Tulane,american athletic,-0.3993506493506494,-0.3348457350272233,1,2
Tulsa,american athletic,0.5011363636363636,0.42019056261343013,3,0
UAB,american athletic,-1.4126984126984128,-1.1845130066545677,1,2
UCF,big 12,-0.08938120702826585,-0.07494395217252056,2,1
UCLA,big ten,0.7052881758764111,0.5913668552720545,3,0
UConn,fbs independents,-0.41702741702741697,-0.34966727162734423,2,1
UL Monroe,sun belt,-1.8522727272727273,-1.5530852994555355,0,3
UNLV,mountain west,-1.2142857142857144,-1.018148820326679,1,2
USC,big ten,0.6673881673881673,0.5595886267392619,4,0
Utah,big 12,0.08522727272727272,0.07146098003629764,3,0
Utah State,pac-12,-2.0321969696969697,-1.7039473684210529,0,3
UTEP,mountain west,-1.360479797979798,-1.140728977616455,1,2
UTSA,american athletic,-0.3920454545454546,-0.32872050816696924,2,1
Vanderbilt,sec,0.4748663101604278,0.39816376641400664,3,0
Virginia,acc,-0.385360962566845,-0.32311572541902434,2,1
Virginia Tech,acc,0.608946608946609,0.5105868118572294,3,0
Wake Forest,acc,-0.16554687142922436,-0.1388069956448306,2,1
Washington,big ten,0.09090909090909088,0.0762250453720508,3,0
Washington State,pac-12,-1.0833333333333335,-0.9083484573502725,1,2
Western Kentucky,conference usa,-0.7727272727272728,-0.6479128856624321,0,3
Western Michigan,mid-american,-0.6031746031746033,-0.5057471264367818,2,1
West Virginia,big 12,0.8754774637127578,0.7340664033308424,3,0
Wisconsin,big ten,-0.2727272727272727,-0.22867513611615245,2,1
Wyoming,mountain west,-1.784965034965035,-1.496649448555075,1,2
