team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Air Force,mountain west,5.424242424242426,0.13265000249796002,14.0,66.0,1,1
Akron,mid-american,-11.676470588235292,-0.2855484197709125,-7.0,68.0,1,2
Alabama,sec,12.379953379953381,0.30275211141670205,26.666666666666668,143.0,3,0
App State,sun belt,10.462962962962962,0.2558720563391748,20.0,108.0,3,0
Arizona,big 12,8.680851063829785,0.21229045924551682,14.0,94.0,2,1
Arizona State,big 12,6.6491228070175445,0.16260448703734057,14.0,114.0,2,1
Arkansas,sec,-22.75862068965517,-0.5565627151619281,-14.666666666666666,58.0,1,2
Arkansas State,sun belt,-11.048192771084338,-0.27018386791349314,1.0,83.0,1,2
Army,american athletic,21.885542168674696,0.5352115551416142,26.0,83.0,1,1
Auburn,sec,-0.7777777777777768,-0.019020577639372267,10.333333333333334,99.0,2,1
Ball State,mid-american,-30.474576271186443,-0.7452566279910955,-21.666666666666668,59.0,1,2
Baylor,big 12,12.416666666666668,0.3036499358856934,19.0,96.0,2,1
Boise State,pac-12,-2.2233009708737885,-0.05437088836996717,8.333333333333334,103.0,2,1
Boston College,acc,-14.974358974358974,-0.3661983738920907,-2.0,65.0,2,1
Bowling Green,mid-american,-46.77777777777777,-1.1439518837393905,-34.666666666666664,27.0,0,3
Buffalo,mid-american,-29.444444444444443,-0.7200647249190938,-17.0,54.0,1,2
BYU,big 12,22.74242424242424,0.5561666305850221,28.333333333333332,132.0,3,0
California,acc,-3.042553191489361,-0.07440572468654144,8.0,94.0,2,1
Central Michigan,mid-american,-7.272727272727282,-0.1778547519525723,-4.666666666666667,44.0,2,1
Charlotte,american athletic,-22.230046948356808,-0.5436364293104293,-13.0,71.0,0,3
Cincinnati,big 12,22.42493638676845,0.5484024560603752,25.0,131.0,3,0
Clemson,acc,-26.5,-0.6480582524271845,-6.0,60.0,2,1
Coastal Carolina,sun belt,2.0522088353413652,0.05018682533762086,7.666666666666667,83.0,1,2
Colorado,big 12,-2.7214611872146146,-0.06655341060508355,-0.6666666666666666,73.0,2,1
Colorado State,pac-12,7.25862068965517,0.17750977506300883,12.666666666666666,116.0,2,1
Delaware,conference usa,6.11111111111111,0.14944739573792512,11.333333333333334,90.0,2,1
Duke,acc,12.052208835341366,0.2947371092724075,15.333333333333334,83.0,3,0
East Carolina,american athletic,-29.925925925925924,-0.7318393682196576,-12.666666666666666,54.0,1,2
Eastern Michigan,mid-american,-24.325757575757574,-0.59488709220803,-16.75,66.0,1,3
Florida,sec,24.716049382716047,0.6044316894289417,33.0,162.0,3,0
Florida Atlantic,american athletic,-19.333333333333336,-0.47279721560725413,-10.333333333333334,75.0,2,1
Florida International,conference usa,-9.282051282051281,-0.22699282765228906,-1.0,52.0,1,2
Florida State,acc,-5.319148936170215,-0.13007993826318442,0.0,94.0,1,2
Fresno State,pac-12,-5.999999999999997,-0.14673017036087188,7.666666666666667,75.0,2,1
Georgia,sec,40.89138576779026,1.0,46.0,178.0,3,0
Georgia Southern,sun belt,-2.9230769230769207,-0.07148392915016834,4.0,65.0,1,2
Georgia State,sun belt,7.499999999999998,0.1834127129510899,16.333333333333332,120.0,2,1
Georgia Tech,acc,-11.432098765432102,-0.2795722999056944,3.6666666666666665,81.0,1,2
Hawai'i,mountain west,-16.150537634408604,-0.39496185641940806,-5.0,62.0,1,2
Houston,big 12,22.990196078431374,0.562225897869681,27.333333333333332,136.0,2,1
Illinois,big ten,6.555555555555557,0.1603162972461379,17.666666666666668,117.0,2,1
Indiana,big ten,37.5287356321839,0.9177662954564116,43.0,145.0,3,0
Iowa,big ten,23.32432432432432,0.5703970136100561,32.666666666666664,111.0,3,0
