team,conference,N_raw,N_adj,ave_margin,points,wins,losses
Ohio State,big ten,53.0,0.5041722296395194,53.0,56.0,1,0
Oklahoma,sec,86.31372549019608,0.8210751590355768,51.0,51.0,1,0
Oklahoma State,big 12,-30.0,-0.28538050734312415,-14.0,10.0,0,1
Old Dominion,sun belt,17.161290322580644,0.16324992463069038,21.0,31.0,1,0
Ole Miss,sec,-4.3170731707317085,-0.04106695105669349,3.0,41.0,1,0
Oregon,big ten,-2.8235294117647083,-0.02685934186758818,7.0,34.0,1,0
Oregon State,pac-12,-10.499999999999998,-0.09988317757009343,-13.0,20.0,0,1
Penn State,big ten,91.66666666666666,0.8719959946595459,45.0,45.0,1,0
Pittsburgh,acc,41.45762711864407,0.39437328867869026,45.0,59.0,1,0
Purdue,big ten,5.818181818181817,0.05534652263624225,25.0,44.0,1,0
Rice,american athletic,22.161290322580644,0.21081334252121106,28.0,31.0,1,0
Rutgers,big ten,-14.0,-0.13317757009345793,-16.0,21.0,0,1
Sacramento State,mid-american,12.079710144927539,0.11491046032391017,20.5,69.0,1,1
Sam Houston,conference usa,-2.0,-0.019025367156208277,-3.0,21.0,0,1
San Diego State,pac-12,20.622641509433965,0.19617666322392122,33.0,53.0,1,0
San José State,mountain west,-16.377358490566035,-0.1557926291659319,-5.0,53.0,1,1
SMU,acc,-8.11111111111111,-0.07715843346684467,3.0,27.0,1,0
South Alabama,sun belt,8.897435897435898,0.08463849234877273,25.0,39.0,1,0
South Carolina,sec,105.12280701754386,1.0,57.0,57.0,1,0
Southern Miss,sun belt,44.0,0.4185580774365821,46.0,49.0,1,0
South Florida,american athletic,-22.578947368421055,-0.21478638184245663,10.0,19.0,1,0
Stanford,acc,-31.941860465116278,-0.30385281150060545,-14.5,43.0,1,1
Syracuse,acc,56.42424242424242,0.5367459643160577,63.0,66.0,1,0
TCU,big 12,-19.0,-0.18074098798397864,-5.0,10.0,0,1
Temple,american athletic,-0.3684210526315752,-0.003504672897196226,24.0,38.0,1,0
Tennessee,sec,45.0,0.4280707610146862,47.0,56.0,1,0
Texas,sec,45.525423728813564,0.4330689506913173,52.0,59.0,1,0
Texas A&M,sec,94.0,0.894192256341789,50.0,50.0,1,0
Texas State,pac-12,-54.0,-0.5136849132176234,-52.0,7.0,0,1
Texas Tech,big 12,4.818181818181817,0.04583383905813811,23.0,33.0,1,0
Toledo,mid-american,-6.499999999999998,-0.06183244325767688,-10.0,20.0,0,1
Troy,sun belt,-4.25,-0.04042890520694259,3.0,24.0,1,0
Tulane,american athletic,-64.0,-0.6088117489986649,-14.0,3.0,0,1
Tulsa,american athletic,8.75,0.08323598130841121,14.0,24.0,1,0
UAB,american athletic,-37.565217391304344,-0.3573460265861728,-19.0,23.0,0,1
UCF,big 12,61.15068493150685,0.5817071163377654,67.0,73.0,1,0
UCLA,big ten,17.666666666666668,0.1680574098798398,21.0,45.0,1,0
UConn,fbs independents,51.0,0.48514686248331107,49.0,56.0,1,0
UL Monroe,sun belt,-72.07692307692308,-0.6856449625141214,-49.0,13.0,0,1
UNLV,mountain west,4.5,0.042807076101468625,4.5,42.0,1,1
USC,big ten,24.530864197530864,0.23335434900855462,27.5,81.0,2,0
Utah,big 12,49.72727272727273,0.4730398106566331,52.0,66.0,1,0
Utah State,pac-12,-16.823529411764717,-0.1600369119610462,-12.0,17.0,0,1
UTEP,mountain west,-102.0,-0.9702937249666221,-51.0,0.0,0,1
UTSA,american athletic,15.88888888888889,0.15114597240765465,29.0,45.0,1,0
Vanderbilt,sec,-6.0,-0.05707610146862483,19.0,28.0,1,0
Virginia,acc,17.17647058823529,0.16339432969449458,26.0,34.0,1,0
Virginia Tech,acc,60.150684931506845,0.5721944327596612,70.0,73.0,1,0
Wake Forest,acc,9.842105263157892,0.09362483311081439,22.0,38.0,1,0
Washington,big ten,6.75,0.06421061415220293,14.0,24.0,1,0
Washington State,pac-12,-28.0,-0.26635514018691586,-14.0,10.0,0,1
Western Kentucky,conference usa,-38.0,-0.3614819759679573,-35.0,14.0,0,1
Western Michigan,mid-american,-50.0,-0.47563417890520693,-1.0,12.0,0,1
West Virginia,big 12,3.161290322580644,0.030072354537232428,7.0,31.0,1,0
Wisconsin,big ten,-51.07692307692308,-0.4858786073739345,-28.0,13.0,0,1
Wyoming,mountain west,-43.07692307692308,-0.4097771387491014,-22.0,13.0,0,1
